chapter,verse,text
1,1,ΒΙΒΛΟΣ ΓΕΝΕΣΕΩΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΥΙΟΥ ΔΑΥΕΙΔ ΥΙΟΥ ΑΒΡΑΑΜ
1,2,ΑΒΡΑΑΜ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΣΑΑΚ ΙΣΑΑΚ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΑΚΩΒ ΙΑΚΩΒ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΟΥΔΑΝ ΚΑΙ ΤΟΥΣ ΑΔΕΛΦΟΥΣ ΑΥΤΟΥ
1,3,ΙΟΥΔΑΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΦΑΡΕΣ ΚΑΙ ΤΟΝ ΖΑΡΑ ΕΚ ΤΗΣ ΘΑΜΑΡ ΦΑΡΕΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΕΣΡΩΜ ΕΣΡΩΜ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΑΡΑΜ
1,4,ΑΡΑΜ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΑΜΙΝΑΔΑΒ ΑΜΙΝΑΔΑΒ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΝΑΑΣΣΩΝ ΝΑΑΣΣΩΝ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΣΑΛΜΩΝ
1,5,ΣΑΛΜΩΝ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΒΟΕΣ ΕΚ ΤΗΣ ΡΑΧΑΒ ΒΟΕΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΩΒΗΔ ΕΚ ΤΗΣ ΡΟΥΘ ΙΩΒΗΔ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΕΣΣΑΙ
1,6,ΙΕΣΣΑΙ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΔΑΥΕΙΔ ΤΟΝ ΒΑΣΙΛΕΑ ΔΑΥΕΙΔ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΣΟΛΟΜΩΝΑ ΕΚ ΤΗΣ ΤΟΥ ΟΥΡΙΟΥ
1,7,ΣΟΛΟΜΩΝ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΡΟΒΟΑΜ ΡΟΒΟΑΜ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΑΒΙΑ ΑΒΙΑ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΑΣΑΦ
1,8,ΑΣΑΦ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΩΣΑΦΑΤ ΙΩΣΑΦΑΤ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΩΡΑΜ ΙΩΡΑΜ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΟΖΕΙΑΝ
1,9,ΟΖΕΙΑΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΩΑΘΑΜ ΙΩΑΘΑΜ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΑΧΑΖ ΑΧΑΖ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΕΖΕΚΙΑΝ
1,10,ΕΖΕΚΙΑΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΜΑΝΑΣΣΗ ΜΑΝΑΣΣΗΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΑΜΩΣ ΑΜΩΣ ΔΕ ΕΓΕΝΝΗΣΕΝ ΤΟΝ ΙΩΣΙΑΝ
