chapter,verse,text
1,1,ΑΡΧΗ ΤΟΥ ΕΥΑΓΓΕΛΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΥΙΟΥ ΘΕΟΥ
1,2,ΚΑΘΩΣ ΓΕΓΡΑΠΤΑΙ ΕΝ ΤΩΙ ΗΣΑΙΑΙ ΤΩΙ ΠΡΟΦΗΤΗΙ ΙΔΟΥ ΑΠΟΣΤΕΛΛΩ ΤΟΝ ΑΓΓΕΛΟΝ ΜΟΥ ΠΡΟ ΠΡΟΣΩΠΟΥ ΣΟΥ ΟΣ ΚΑΤΑΣΚΕΥΑΣΕΙ ΤΗΝ ΟΔΟΝ ΣΟΥ
1,3,ΦΩΝΗ ΒΟΩΝΤΟΣ ΕΝ ΤΗΙ ΕΡΗΜΩΙ ΕΤΟΙΜΑΣΑΤΕ ΤΗΝ ΟΔΟΝ ΚΥΡΙΟΥ ΕΥΘΕΙΑΣ ΠΟΙΕΙΤΕ ΤΑΣ ΤΡΙΒΟΥΣ ΑΥΤΟΥ
1,4,ΕΓΕΝΕΤΟ ΙΩΑΝΝΗΣ Ο ΒΑΠΤΙΖΩΝ ΕΝ ΤΗΙ ΕΡΗΜΩΙ ΚΑΙ ΚΗΡΥΣΣΩΝ ΒΑΠΤΙΣΜΑ ΜΕΤΑΝΟΙΑΣ ΕΙΣ ΑΦΕΣΙΝ ΑΜΑΡΤΙΩΝ
1,5,ΚΑΙ ΕΞΕΠΟΡΕΥΕΤΟ ΠΡΟΣ ΑΥΤΟΝ ΠΑΣΑ Η ΙΟΥΔΑΙΑ ΧΩΡΑ ΚΑΙ ΟΙ ΙΕΡΟΣΟΛΥΜΕΙΤΑΙ ΠΑΝΤΕΣ ΚΑΙ ΕΒΑΠΤΙΖΟΝΤΟ ΥΠΟ ΑΥΤΟΥ ΕΝ ΤΩΙ ΙΟΡΔΑΝΗΙ ΠΟΤΑΜΩΙ ΕΞΟΜΟΛΟΓΟΥΜΕΝΟΙ ΤΑΣ ΑΜΑΡΤΙΑΣ ΑΥΤΩΝ
1,6,ΚΑΙ ΗΝ Ο ΙΩΑΝΝΗΣ ΕΝΔΕΔΥΜΕΝΟΣ ΤΡΙΧΑΣ ΚΑΜΗΛΟΥ ΚΑΙ ΖΩΝΗΝ ΔΕΡΜΑΤΙΝΗΝ ΠΕΡΙ ΤΗΝ ΟΣΦΥΝ ΑΥΤΟΥ ΚΑΙ ΕΣΘΩΝ ΑΚΡΙΔΑΣ ΚΑΙ ΜΕΛΙ ΑΓΡΙΟΝ
1,7,ΚΑΙ ΕΚΗΡΥΣΣΕΝ ΛΕΓΩΝ ΕΡΧΕΤΑΙ Ο ΙΣΧΥΡΟΤΕΡΟΣ ΜΟΥ ΟΠΙΣΩ ΜΟΥ ΟΥ ΟΥΚ ΕΙΜΙ ΙΚΑΝΟΣ ΚΥΨΑΣ ΛΥΣΑΙ ΤΟΝ ΙΜΑΝΤΑ ΤΩΝ ΥΠΟΔΗΜΑΤΩΝ ΑΥΤΟΥ
1,8,ΕΓΩ ΕΒΑΠΤΙΣΑ ΥΜΑΣ ΥΔΑΤΙ ΑΥΤΟΣ ΔΕ ΒΑΠΤΙΣΕΙ ΥΜΑΣ ΕΝ ΠΝΕΥΜΑΤΙ ΑΓΙΩΙ
1,9,ΚΑΙ ΕΓΕΝΕΤΟ ΕΝ ΕΚΕΙΝΑΙΣ ΤΑΙΣ ΗΜΕΡΑΙΣ ΗΛΘΕΝ ΙΗΣΟΥΣ ΑΠΟ ΝΑΖΑΡΕΤ ΤΗΣ ΓΑΛΙΛΑΙΑΣ ΚΑΙ ΕΒΑΠΤΙΣΘΗ ΕΙΣ ΤΟΝ ΙΟΡΔΑΝΗΝ ΥΠΟ ΙΩΑΝΝΟΥ
1,10,ΚΑΙ ΕΥΘΥΣ ΑΝΑΒΑΙΝΩΝ ΕΚ ΤΟΥ ΥΔΑΤΟΣ ΕΙΔΕΝ ΣΧΙΖΟΜΕΝΟΥΣ ΤΟΥΣ ΟΥΡΑΝΟΥΣ ΚΑΙ ΤΟ ΠΝΕΥΜΑ ΩΣ ΠΕΡΙΣΤΕΡΑΝ ΚΑΤΑΒΑΙΝΟΝ ΕΠΙ ΑΥΤΟΝ
1,11,ΚΑΙ ΦΩΝΗ ΕΓΕΝΕΤΟ ΕΚ ΤΩΝ ΟΥΡΑΝΩΝ ΣΥ ΕΙ Ο ΥΙΟΣ ΜΟΥ Ο ΑΓΑΠΗΤΟΣ ΕΝ ΣΟΙ ΕΥΔΟΚΗΣΑ
1,12,ΚΑΙ ΕΥΘΥΣ ΤΟ ΠΝΕΥΜΑ ΑΥΤΟΝ ΕΚΒΑΛΛΕΙ ΕΙΣ ΤΗΝ ΕΡΗΜΟΝ
1,13,ΚΑΙ ΗΝ ΕΝ ΤΗΙ ΕΡΗΜΩΙ ΤΕΣΣΕΡΑΚΟΝΤΑ ΗΜΕΡΑΣ ΠΕΙΡΑΖΟΜΕΝΟΣ ΥΠΟ ΤΟΥ ΣΑΤΑΝΑ ΚΑΙ ΗΝ ΜΕΤΑ ΤΩΝ ΘΗΡΙΩΝ ΚΑΙ ΟΙ ΑΓΓΕΛΟΙ ΔΙΗΚΟΝΟΥΝ ΑΥΤΩΙ
1,14,ΜΕΤΑ ΔΕ ΤΟ ΠΑΡΑΔΟΘΗΝΑΙ ΤΟΝ ΙΩΑΝΝΗΝ ΗΛΘΕΝ Ο ΙΗΣΟΥΣ ΕΙΣ ΤΗΝ ΓΑΛΙΛΑΙΑΝ ΚΗΡΥΣΣΩΝ ΤΟ ΕΥΑΓΓΕΛΙΟΝ ΤΟΥ ΘΕΟΥ
1,15,ΚΑΙ ΛΕΓΩΝ ΟΤΙ ΠΕΠΛΗΡΩΤΑΙ Ο ΚΑΙΡΟΣ ΚΑΙ ΗΓΓΙΚΕΝ Η ΒΑΣΙΛΕΙΑ ΤΟΥ ΘΕΟΥ ΜΕΤΑΝΟΕΙΤΕ ΚΑΙ ΠΙΣΤΕΥΕΤΕ ΕΝ ΤΩΙ ΕΥΑΓΓΕΛΙΩΙ
1,16,ΚΑΙ ΠΑΡΑΓΩΝ ΠΑΡΑ ΤΗΝ ΘΑΛΑΣΣΑΝ ΤΗΣ ΓΑΛΙΛΑΙΑΣ ΕΙΔΕΝ ΣΙΜΩΝΑ ΚΑΙ ΑΝΔΡΕΑΝ ΤΟΝ ΑΔΕΛΦΟΝ ΣΙΜΩΝΟΣ ΑΜΦΙΒΑΛΛΟΝΤΑΣ ΕΝ ΤΗΙ ΘΑΛΑΣΣΗΙ ΗΣΑΝ ΓΑΡ ΑΛΙΕΙΣ
