chapter,verse,text
1,1,ΕΠΕΙΔΗΠΕΡ ΠΟΛΛΟΙ ΕΠΕΧΕΙΡΗΣΑΝ ΑΝΑΤΑΞΑΣΘΑΙ ΔΙΗΓΗΣΙΝ ΠΕΡΙ ΤΩΝ ΠΕΠΛΗΡΟΦΟΡΗΜΕΝΩΝ ΕΝ ΗΜΙΝ ΠΡΑΓΜΑΤΩΝ
1,2,ΚΑΘΩΣ ΠΑΡΕΔΟΣΑΝ ΗΜΙΝ ΟΙ ΑΠΟ ΑΡΧΗΣ ΑΥΤΟΠΤΑΙ ΚΑΙ ΥΠΗΡΕΤΑΙ ΓΕΝΟΜΕΝΟΙ ΤΟΥ ΛΟΓΟΥ
1,3,ΕΔΟΞΕ ΚΑΜΟΙ ΠΑΡΗΚΟΛΟΥΘΗΚΟΤΙ ΑΝΩΘΕΝ ΠΑΣΙΝ ΑΚΡΙΒΩΣ ΚΑΘΕΞΗΣ ΣΟΙ ΓΡΑΨΑΙ ΚΡΑΤΙΣΤΕ ΘΕΟΦΙΛΕ
1,4,ΙΝΑ ΕΠΙΓΝΩΙΣ ΠΕΡΙ ΩΝ ΚΑΤΗΧΗΘΗΣ ΛΟΓΩΝ ΤΗΝ ΑΣΦΑΛΕΙΑΝ
1,5,ΕΓΕΝΕΤΟ ΕΝ ΤΑΙΣ ΗΜΕΡΑΙΣ ΗΡΩΙΔΟΥ ΒΑΣΙΛΕΩΣ ΤΗΣ ΙΟΥΔΑΙΑΣ ΙΕΡΕΥΣ ΤΙΣ ΟΝΟΜΑΤΙ ΖΑΧΑΡΙΑΣ ΕΞ ΕΦΗΜΕΡΙΑΣ ΑΒΙΑ ΚΑΙ ΓΥΝΗ ΑΥΤΩΙ ΕΚ ΤΩΝ ΘΥΓΑΤΕΡΩΝ ΑΑΡΩΝ ΚΑΙ ΤΟ ΟΝΟΜΑ ΑΥΤΗΣ ΕΛΕΙΣΑΒΕΤ
1,6,ΗΣΑΝ ΔΕ ΔΙΚΑΙΟΙ ΑΜΦΟΤΕΡΟΙ ΕΝΑΝΤΙΟΝ ΤΟΥ ΘΕΟΥ ΠΟΡΕΥΟΜΕΝΟΙ ΕΝ ΠΑΣΑΙΣ ΤΑΙΣ ΕΝΤΟΛΑΙΣ ΚΑΙ ΔΙΚΑΙΩΜΑΣΙΝ ΤΟΥ ΚΥΡΙΟΥ ΑΜΕΜΠΤΟΙ
1,7,ΚΑΙ ΟΥΚ ΗΝ ΑΥΤΟΙΣ ΤΕΚΝΟΝ ΚΑΘΟΤΙ ΗΝ Η ΕΛΕΙΣΑΒΕΤ ΣΤΕΙΡΑ ΚΑΙ ΑΜΦΟΤΕΡΟΙ ΠΡΟΒΕΒΗΚΟΤΕΣ ΕΝ ΤΑΙΣ ΗΜΕΡΑΙΣ ΑΥΤΩΝ ΗΣΑΝ
1,8,ΕΓΕΝΕΤΟ ΔΕ ΕΝ ΤΩΙ ΙΕΡΑΤΕΥΕΙΝ ΑΥΤΟΝ ΕΝ ΤΗΙ ΤΑΞΕΙ ΤΗΣ ΕΦΗΜΕΡΙΑΣ ΑΥΤΟΥ ΕΝΑΝΤΙ ΤΟΥ ΘΕΟΥ
1,9,ΚΑΤΑ ΤΟ ΕΘΟΣ ΤΗΣ ΙΕΡΑΤΕΙΑΣ ΕΛΑΧΕ ΤΟΥ ΘΥΜΙΑΣΑΙ ΕΙΣΕΛΘΩΝ ΕΙΣ ΤΟΝ ΝΑΟΝ ΤΟΥ ΚΥΡΙΟΥ
1,10,ΚΑΙ ΠΑΝ ΤΟ ΠΛΗΘΟΣ ΗΝ ΤΟΥ ΛΑΟΥ ΠΡΟΣΕΥΧΟΜΕΝΟΝ ΕΞΩ ΤΗΙ ΩΡΑΙ ΤΟΥ ΘΥΜΙΑΜΑΤΟΣ
