chapter,verse,text
1,1,ΕΝ ΑΡΧΗΙ ΗΝ Ο ΛΟΓΟΣ ΚΑΙ Ο ΛΟΓΟΣ ΗΝ ΠΡΟΣ ΤΟΝ ΘΕΟΝ ΚΑΙ ΘΕΟΣ ΗΝ Ο ΛΟΓΟΣ
1,2,ΟΥΤΟΣ ΗΝ ΕΝ ΑΡΧΗΙ ΠΡΟΣ ΤΟΝ ΘΕΟΝ
1,3,ΠΑΝΤΑ ΔΙΑ ΑΥΤΟΥ ΕΓΕΝΕΤΟ ΚΑΙ ΧΩΡΙΣ ΑΥΤΟΥ ΕΓΕΝΕΤΟ ΟΥΔΕ ΕΝ Ο ΓΕΓΟΝΕΝ
1,4,ΕΝ ΑΥΤΩΙ ΖΩΗ ΗΝ ΚΑΙ Η ΖΩΗ ΗΝ ΤΟ ΦΩΣ ΤΩΝ ΑΝΘΡΩΠΩΝ
1,5,ΚΑΙ ΤΟ ΦΩΣ ΕΝ ΤΗΙ ΣΚΟΤΙΑΙ ΦΑΙΝΕΙ ΚΑΙ Η ΣΚΟΤΙΑ ΑΥΤΟ ΟΥ ΚΑΤΕΛΑΒΕΝ
1,6,ΕΓΕΝΕΤΟ ΑΝΘΡΩΠΟΣ ΑΠΕΣΤΑΛΜΕΝΟΣ ΠΑΡΑ ΘΕΟΥ ΟΝΟΜΑ ΑΥΤΩΙ ΙΩΑΝΝΗΣ
1,7,ΟΥΤΟΣ ΗΛΘΕΝ ΕΙΣ ΜΑΡΤΥΡΙΑΝ ΙΝΑ ΜΑΡΤΥΡΗΣΗΙ ΠΕΡΙ ΤΟΥ ΦΩΤΟΣ ΙΝΑ ΠΑΝΤΕΣ ΠΙΣΤΕΥΣΩΣΙΝ ΔΙΑ ΑΥΤΟΥ
1,8,ΟΥΚ ΗΝ ΕΚΕΙΝΟΣ ΤΟ ΦΩΣ ΑΛΛΑ ΙΝΑ ΜΑΡΤΥΡΗΣΗΙ ΠΕΡΙ ΤΟΥ ΦΩΤΟΣ
1,9,ΗΝ ΤΟ ΦΩΣ ΤΟ ΑΛΗΘΙΝΟΝ Ο ΦΩΤΙΖΕΙ ΠΑΝΤΑ ΑΝΘΡΩΠΟΝ ΕΡΧΟΜΕΝΟΝ ΕΙΣ ΤΟΝ ΚΟΣΜΟΝ
1,10,ΕΝ ΤΩΙ ΚΟΣΜΩΙ ΗΝ ΚΑΙ Ο ΚΟΣΜΟΣ ΔΙΑ ΑΥΤΟΥ ΕΓΕΝΕΤΟ ΚΑΙ Ο ΚΟΣΜΟΣ ΑΥΤΟΝ ΟΥΚ ΕΓΝΩ
1,11,ΕΙΣ ΤΑ ΙΔΙΑ ΗΛΘΕΝ ΚΑΙ ΟΙ ΙΔΙΟΙ ΑΥΤΟΝ ΟΥ ΠΑΡΕΛΑΒΟΝ
1,12,ΟΣΟΙ ΔΕ ΕΛΑΒΟΝ ΑΥΤΟΝ ΕΔΩΚΕΝ ΑΥΤΟΙΣ ΕΞΟΥΣΙΑΝ ΤΕΚΝΑ ΘΕΟΥ ΓΕΝΕΣΘΑΙ ΤΟΙΣ ΠΙΣΤΕΥΟΥΣΙΝ ΕΙΣ ΤΟ ΟΝΟΜΑ ΑΥΤΟΥ
1,13,ΟΙ ΟΥΚ ΕΞ ΑΙΜΑΤΩΝ ΟΥΔΕ ΕΚ ΘΕΛΗΜΑΤΟΣ ΣΑΡΚΟΣ ΟΥΔΕ ΕΚ ΘΕΛΗΜΑΤΟΣ ΑΝΔΡΟΣ ΑΛΛΑ ΕΚ ΘΕΟΥ ΕΓΕΝΝΗΘΗΣΑΝ
1,14,ΚΑΙ Ο ΛΟΓΟΣ ΣΑΡΞ ΕΓΕΝΕΤΟ ΚΑΙ ΕΣΚΗΝΩΣΕΝ ΕΝ ΗΜΙΝ ΚΑΙ ΕΘΕΑΣΑΜΕΘΑ ΤΗΝ ΔΟΞΑΝ ΑΥΤΟΥ ΔΟΞΑΝ ΩΣ ΜΟΝΟΓΕΝΟΥΣ ΠΑΡΑ ΠΑΤΡΟΣ ΠΛΗΡΗΣ ΧΑΡΙΤΟΣ ΚΑΙ ΑΛΗΘΕΙΑΣ
1,15,ΙΩΑΝΝΗΣ ΜΑΡΤΥΡΕΙ ΠΕΡΙ ΑΥΤΟΥ ΚΑΙ ΚΕΚΡΑΓΕΝ ΛΕΓΩΝ ΟΥΤΟΣ ΗΝ ΟΝ ΕΙΠΟΝ Ο ΟΠΙΣΩ ΜΟΥ ΕΡΧΟΜΕΝΟΣ ΕΜΠΡΟΣΘΕΝ ΜΟΥ ΓΕΓΟΝΕΝ ΟΤΙ ΠΡΩΤΟΣ ΜΟΥ ΗΝ
1,16,ΟΤΙ ΕΚ ΤΟΥ ΠΛΗΡΩΜΑΤΟΣ ΑΥΤΟΥ ΗΜΕΙΣ ΠΑΝΤΕΣ ΕΛΑΒΟΜΕΝ ΚΑΙ ΧΑΡΙΝ ΑΝΤΙ ΧΑΡΙΤΟΣ
1,17,ΟΤΙ Ο ΝΟΜΟΣ ΔΙΑ ΜΩΥΣΕΩΣ ΕΔΟΘΗ Η ΧΑΡΙΣ ΚΑΙ Η ΑΛΗΘΕΙΑ ΔΙΑ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΕΓΕΝΕΤΟ
1,18,ΘΕΟΝ ΟΥΔΕΙΣ ΕΩΡΑΚΕΝ ΠΩΠΟΤΕ ΜΟΝΟΓΕΝΗΣ ΘΕΟΣ Ο ΩΝ ΕΙΣ ΤΟΝ ΚΟΛΠΟΝ ΤΟΥ ΠΑΤΡΟΣ ΕΚΕΙΝΟΣ ΕΞΗΓΗΣΑΤΟ
1,19,ΚΑΙ ΑΥΤΗ ΕΣΤΙΝ Η ΜΑΡΤΥΡΙΑ ΤΟΥ ΙΩΑΝΝΟΥ ΟΤΕ ΑΠΕΣΤΕΙΛΑΝ ΟΙ ΙΟΥΔΑΙΟΙ ΕΞ ΙΕΡΟΣΟΛΥΜΩΝ ΙΕΡΕΙΣ ΚΑΙ ΛΕΥΕΙΤΑΣ ΙΝΑ ΕΡΩΤΗΣΩΣΙΝ ΑΥΤΟΝ ΣΥ ΤΙΣ ΕΙ
1,20,ΚΑΙ ΩΜΟΛΟΓΗΣΕΝ ΚΑΙ ΟΥΚ ΗΡΝΗΣΑΤΟ ΚΑΙ ΩΜΟΛΟΓΗΣΕΝ ΟΤΙ ΕΓΩ ΟΥΚ ΕΙΜΙ Ο ΧΡΙΣΤΟΣ
1,21,ΚΑΙ ΗΡΩΤΗΣΑΝ ΑΥΤΟΝ ΤΙ ΟΥΝ ΣΥ ΗΛΕΙΑΣ ΕΙ ΚΑΙ ΛΕΓΕΙ ΟΥΚ ΕΙΜΙ Ο ΠΡΟΦΗΤΗΣ ΕΙ ΣΥ ΚΑΙ ΑΠΕΚΡΙΘΗ ΟΥ
