chapter,verse,text
1,1,ΤΟΝ ΜΕΝ ΠΡΩΤΟΝ ΛΟΓΟΝ ΕΠΟΙΗΣΑΜΗΝ ΠΕΡΙ ΠΑΝΤΩΝ Ω ΘΕΟΦΙΛΕ ΩΝ ΗΡΞΑΤΟ Ο ΙΗΣΟΥΣ ΠΟΙΕΙΝ ΤΕ ΚΑΙ ΔΙΔΑΣΚΕΙΝ
1,2,ΑΧΡΙ ΗΣ ΗΜΕΡΑΣ ΕΝΤΕΙΛΑΜΕΝΟΣ ΤΟΙΣ ΑΠΟΣΤΟΛΟΙΣ ΔΙΑ ΠΝΕΥΜΑΤΟΣ ΑΓΙΟΥ ΟΥΣ ΕΞΕΛΕΞΑΤΟ ΑΝΕΛΗΜΦΘΗ
1,3,ΟΙΣ ΚΑΙ ΠΑΡΕΣΤΗΣΕΝ ΕΑΥΤΟΝ ΖΩΝΤΑ ΜΕΤΑ ΤΟ ΠΑΘΕΙΝ ΑΥΤΟΝ ΕΝ ΠΟΛΛΟΙΣ ΤΕΚΜΗΡΙΟΙΣ ΔΙΑ ΗΜΕΡΩΝ ΤΕΣΣΕΡΑΚΟΝΤΑ ΟΠΤΑΝΟΜΕΝΟΣ ΑΥΤΟΙΣ ΚΑΙ ΛΕΓΩΝ ΤΑ ΠΕΡΙ ΤΗΣ ΒΑΣΙΛΕΙΑΣ ΤΟΥ ΘΕΟΥ
1,4,ΚΑΙ ΣΥΝΑΛΙΖΟΜΕΝΟΣ ΠΑΡΗΓΓΕΙΛΕΝ ΑΥΤΟΙΣ ΑΠΟ ΙΕΡΟΣΟΛΥΜΩΝ ΜΗ ΧΩΡΙΖΕΣΘΑΙ ΑΛΛΑ ΠΕΡΙΜΕΝΕΙΝ ΤΗΝ ΕΠΑΓΓΕΛΙΑΝ ΤΟΥ ΠΑΤΡΟΣ ΗΝ ΗΚΟΥΣΑΤΕ ΜΟΥ
1,5,ΟΤΙ ΙΩΑΝΝΗΣ ΜΕΝ ΕΒΑΠΤΙΣΕΝ ΥΔΑΤΙ ΥΜΕΙΣ ΔΕ ΕΝ ΠΝΕΥΜΑΤΙ ΒΑΠΤΙΣΘΗΣΕΣΘΕ ΑΓΙΩΙ ΟΥ ΜΕΤΑ ΠΟΛΛΑΣ ΤΑΥΤΑΣ ΗΜΕΡΑΣ
1,6,ΟΙ ΜΕΝ ΟΥΝ ΣΥΝΕΛΘΟΝΤΕΣ ΗΡΩΤΩΝ ΑΥΤΟΝ ΛΕΓΟΝΤΕΣ ΚΥΡΙΕ ΕΙ ΕΝ ΤΩΙ ΧΡΟΝΩΙ ΤΟΥΤΩΙ ΑΠΟΚΑΘΙΣΤΑΝΕΙΣ ΤΗΝ ΒΑΣΙΛΕΙΑΝ ΤΩΙ ΙΣΡΑΗΛ
1,7,ΕΙΠΕΝ ΔΕ ΠΡΟΣ ΑΥΤΟΥΣ ΟΥΧ ΥΜΩΝ ΕΣΤΙΝ ΓΝΩΝΑΙ ΧΡΟΝΟΥΣ Η ΚΑΙΡΟΥΣ ΟΥΣ Ο ΠΑΤΗΡ ΕΘΕΤΟ ΕΝ ΤΗΙ ΙΔΙΑΙ ΕΞΟΥΣΙΑΙ
1,8,ΑΛΛΑ ΛΗΜΨΕΣΘΕ ΔΥΝΑΜΙΝ ΕΠΕΛΘΟΝΤΟΣ ΤΟΥ ΑΓΙΟΥ ΠΝΕΥΜΑΤΟΣ ΕΠΙ ΥΜΑΣ ΚΑΙ ΕΣΕΣΘΕ ΜΟΥ ΜΑΡΤΥΡΕΣ ΕΝ ΤΕ ΙΕΡΟΥΣΑΛΗΜ ΚΑΙ ΕΝ ΠΑΣΗΙ ΤΗΙ ΙΟΥΔΑΙΑΙ ΚΑΙ ΣΑΜΑΡΕΙΑΙ ΚΑΙ ΕΩΣ ΕΣΧΑΤΟΥ ΤΗΣ ΓΗΣ
1,9,ΚΑΙ ΤΑΥΤΑ ΕΙΠΩΝ ΒΛΕΠΟΝΤΩΝ ΑΥΤΩΝ ΕΠΗΡΘΗ ΚΑΙ ΝΕΦΕΛΗ ΥΠΕΛΑΒΕΝ ΑΥΤΟΝ ΑΠΟ ΤΩΝ ΟΦΘΑΛΜΩΝ ΑΥΤΩΝ
1,10,ΚΑΙ ΩΣ ΑΤΕΝΙΖΟΝΤΕΣ ΗΣΑΝ ΕΙΣ ΤΟΝ ΟΥΡΑΝΟΝ ΠΟΡΕΥΟΜΕΝΟΥ ΑΥΤΟΥ ΚΑΙ ΙΔΟΥ ΑΝΔΡΕΣ ΔΥΟ ΠΑΡΕΙΣΤΗΚΕΙΣΑΝ ΑΥΤΟΙΣ ΕΝ ΕΣΘΗΣΕΣΙ ΛΕΥΚΑΙΣ
