chapter,verse,text
1,1,ΠΑΥΛΟΣ ΔΟΥΛΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΚΛΗΤΟΣ ΑΠΟΣΤΟΛΟΣ ΑΦΩΡΙΣΜΕΝΟΣ ΕΙΣ ΕΥΑΓΓΕΛΙΟΝ ΘΕΟΥ
1,2,Ο ΠΡΟΕΠΗΓΓΕΙΛΑΤΟ ΔΙΑ ΤΩΝ ΠΡΟΦΗΤΩΝ ΑΥΤΟΥ ΕΝ ΓΡΑΦΑΙΣ ΑΓΙΑΙΣ
1,3,ΠΕΡΙ ΤΟΥ ΥΙΟΥ ΑΥΤΟΥ ΤΟΥ ΓΕΝΟΜΕΝΟΥ ΕΚ ΣΠΕΡΜΑΤΟΣ ΔΑΥΕΙΔ ΚΑΤΑ ΣΑΡΚΑ
1,4,ΤΟΥ ΟΡΙΣΘΕΝΤΟΣ ΥΙΟΥ ΘΕΟΥ ΕΝ ΔΥΝΑΜΕΙ ΚΑΤΑ ΠΝΕΥΜΑ ΑΓΙΩΣΥΝΗΣ ΕΞ ΑΝΑΣΤΑΣΕΩΣ ΝΕΚΡΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ
1,5,ΔΙΑ ΟΥ ΕΛΑΒΟΜΕΝ ΧΑΡΙΝ ΚΑΙ ΑΠΟΣΤΟΛΗΝ ΕΙΣ ΥΠΑΚΟΗΝ ΠΙΣΤΕΩΣ ΕΝ ΠΑΣΙΝ ΤΟΙΣ ΕΘΝΕΣΙΝ ΥΠΕΡ ΤΟΥ ΟΝΟΜΑΤΟΣ ΑΥΤΟΥ
1,6,ΕΝ ΟΙΣ ΕΣΤΕ ΚΑΙ ΥΜΕΙΣ ΚΛΗΤΟΙ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,7,ΠΑΣΙΝ ΤΟΙΣ ΟΥΣΙΝ ΕΝ ΡΩΜΗΙ ΑΓΑΠΗΤΟΙΣ ΘΕΟΥ ΚΛΗΤΟΙΣ ΑΓΙΟΙΣ ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΗΜΩΝ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,8,ΠΡΩΤΟΝ ΜΕΝ ΕΥΧΑΡΙΣΤΩ ΤΩΙ ΘΕΩΙ ΜΟΥ ΔΙΑ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΠΕΡΙ ΠΑΝΤΩΝ ΥΜΩΝ ΟΤΙ Η ΠΙΣΤΙΣ ΥΜΩΝ ΚΑΤΑΓΓΕΛΛΕΤΑΙ ΕΝ ΟΛΩΙ ΤΩΙ ΚΟΣΜΩΙ
1,9,ΜΑΡΤΥΣ ΓΑΡ ΜΟΥ ΕΣΤΙΝ Ο ΘΕΟΣ ΩΙ ΛΑΤΡΕΥΩ ΕΝ ΤΩΙ ΠΝΕΥΜΑΤΙ ΜΟΥ ΕΝ ΤΩΙ ΕΥΑΓΓΕΛΙΩΙ ΤΟΥ ΥΙΟΥ ΑΥΤΟΥ ΩΣ ΑΔΙΑΛΕΙΠΤΩΣ ΜΝΕΙΑΝ ΥΜΩΝ ΠΟΙΟΥΜΑΙ
1,10,ΠΑΝΤΟΤΕ ΕΠΙ ΤΩΝ ΠΡΟΣΕΥΧΩΝ ΜΟΥ ΔΕΟΜΕΝΟΣ ΕΙ ΠΩΣ ΗΔΗ ΠΟΤΕ ΕΥΟΔΩΘΗΣΟΜΑΙ ΕΝ ΤΩΙ ΘΕΛΗΜΑΤΙ ΤΟΥ ΘΕΟΥ ΕΛΘΕΙΝ ΠΡΟΣ ΥΜΑΣ
