chapter,verse,text
1,1,ΠΑΥΛΟΣ ΚΛΗΤΟΣ ΑΠΟΣΤΟΛΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΔΙΑ ΘΕΛΗΜΑΤΟΣ ΘΕΟΥ ΚΑΙ ΣΩΣΘΕΝΗΣ Ο ΑΔΕΛΦΟΣ
1,2,ΤΗΙ ΕΚΚΛΗΣΙΑΙ ΤΟΥ ΘΕΟΥ ΗΓΙΑΣΜΕΝΟΙΣ ΕΝ ΧΡΙΣΤΩΙ ΙΗΣΟΥ ΤΗΙ ΟΥΣΗΙ ΕΝ ΚΟΡΙΝΘΩΙ ΚΛΗΤΟΙΣ ΑΓΙΟΙΣ ΣΥΝ ΠΑΣΙΝ ΤΟΙΣ ΕΠΙΚΑΛΟΥΜΕΝΟΙΣ ΤΟ ΟΝΟΜΑ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΕΝ ΠΑΝΤΙ ΤΟΠΩΙ ΑΥΤΩΝ ΚΑΙ ΗΜΩΝ
1,3,ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΗΜΩΝ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,4,ΕΥΧΑΡΙΣΤΩ ΤΩΙ ΘΕΩΙ ΜΟΥ ΠΑΝΤΟΤΕ ΠΕΡΙ ΥΜΩΝ ΕΠΙ ΤΗΙ ΧΑΡΙΤΙ ΤΟΥ ΘΕΟΥ ΤΗΙ ΔΟΘΕΙΣΗΙ ΥΜΙΝ ΕΝ ΧΡΙΣΤΩΙ ΙΗΣΟΥ
1,5,ΟΤΙ ΕΝ ΠΑΝΤΙ ΕΠΛΟΥΤΙΣΘΗΤΕ ΕΝ ΑΥΤΩΙ ΕΝ ΠΑΝΤΙ ΛΟΓΩΙ ΚΑΙ ΠΑΣΗΙ ΓΝΩΣΕΙ
1,6,ΚΑΘΩΣ ΤΟ ΜΑΡΤΥΡΙΟΝ ΤΟΥ ΧΡΙΣΤΟΥ ΕΒΕΒΑΙΩΘΗ ΕΝ ΥΜΙΝ
1,7,ΩΣΤΕ ΥΜΑΣ ΜΗ ΥΣΤΕΡΕΙΣΘΑΙ ΕΝ ΜΗΔΕΝΙ ΧΑΡΙΣΜΑΤΙ ΑΠΕΚΔΕΧΟΜΕΝΟΥΣ ΤΗΝ ΑΠΟΚΑΛΥΨΙΝ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,8,ΟΣ ΚΑΙ ΒΕΒΑΙΩΣΕΙ ΥΜΑΣ ΕΩΣ ΤΕΛΟΥΣ ΑΝΕΓΚΛΗΤΟΥΣ ΕΝ ΤΗΙ ΗΜΕΡΑΙ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,9,ΠΙΣΤΟΣ Ο ΘΕΟΣ ΔΙΑ ΟΥ ΕΚΛΗΘΗΤΕ ΕΙΣ ΚΟΙΝΩΝΙΑΝ ΤΟΥ ΥΙΟΥ ΑΥΤΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ
1,10,ΠΑΡΑΚΑΛΩ ΔΕ ΥΜΑΣ ΑΔΕΛΦΟΙ ΔΙΑ ΤΟΥ ΟΝΟΜΑΤΟΣ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΙΝΑ ΤΟ ΑΥΤΟ ΛΕΓΗΤΕ ΠΑΝΤΕΣ ΚΑΙ ΜΗ ΗΙ ΕΝ ΥΜΙΝ ΣΧΙΣΜΑΤΑ ΗΤΕ ΔΕ ΚΑΤΗΡΤΙΣΜΕΝΟΙ ΕΝ ΤΩΙ ΑΥΤΩΙ ΝΟΙ ΚΑΙ ΕΝ ΤΗΙ ΑΥΤΗΙ ΓΝΩΜΗΙ
1,11,ΕΔΗΛΩΘΗ ΓΑΡ ΜΟΙ ΠΕΡΙ ΥΜΩΝ ΑΔΕΛΦΟΙ ΜΟΥ ΥΠΟ ΤΩΝ ΧΛΟΗΣ ΟΤΙ ΕΡΙΔΕΣ ΕΝ ΥΜΙΝ ΕΙΣΙΝ
1,12,ΛΕΓΩ ΔΕ ΤΟΥΤΟ ΟΤΙ ΕΚΑΣΤΟΣ ΥΜΩΝ ΛΕΓΕΙ ΕΓΩ ΜΕΝ ΕΙΜΙ ΠΑΥΛΟΥ ΕΓΩ ΔΕ ΑΠΟΛΛΩ ΕΓΩ ΔΕ ΚΗΦΑ ΕΓΩ ΔΕ ΧΡΙΣΤΟΥ
1,13,ΜΕΜΕΡΙΣΤΑΙ Ο ΧΡΙΣΤΟΣ ΜΗ ΠΑΥΛΟΣ ΕΣΤΑΥΡΩΘΗ ΥΠΕΡ ΥΜΩΝ Η ΕΙΣ ΤΟ ΟΝΟΜΑ ΠΑΥΛΟΥ ΕΒΑΠΤΙΣΘΗΤΕ
1,14,ΕΥΧΑΡΙΣΤΩ ΟΤΙ ΟΥΔΕΝΑ ΥΜΩΝ ΕΒΑΠΤΙΣΑ ΕΙ ΜΗ ΚΡΙΣΠΟΝ ΚΑΙ ΓΑΙΟΝ
1,15,ΙΝΑ ΜΗ ΤΙΣ ΕΙΠΗΙ ΟΤΙ ΕΙΣ ΤΟ ΕΜΟΝ ΟΝΟΜΑ ΕΒΑΠΤΙΣΘΗΤΕ
1,16,ΕΒΑΠΤΙΣΑ ΔΕ ΚΑΙ ΤΟΝ ΣΤΕΦΑΝΑ ΟΙΚΟΝ ΛΟΙΠΟΝ ΟΥΚ ΟΙΔΑ ΕΙ ΤΙΝΑ ΑΛΛΟΝ ΕΒΑΠΤΙΣΑ
1,17,ΟΥ ΓΑΡ ΑΠΕΣΤΕΙΛΕΝ ΜΕ ΧΡΙΣΤΟΣ ΒΑΠΤΙΖΕΙΝ ΑΛΛΑ ΕΥΑΓΓΕΛΙΖΕΣΘΑΙ ΟΥΚ ΕΝ ΣΟΦΙΑΙ ΛΟΓΟΥ ΙΝΑ ΜΗ ΚΕΝΩΘΗΙ Ο ΣΤΑΥΡΟΣ ΤΟΥ ΧΡΙΣΤΟΥ
1,18,Ο ΛΟΓΟΣ ΓΑΡ Ο ΤΟΥ ΣΤΑΥΡΟΥ ΤΟΙΣ ΜΕΝ ΑΠΟΛΛΥΜΕΝΟΙΣ ΜΩΡΙΑ ΕΣΤΙΝ ΤΟΙΣ ΔΕ ΣΩΙΖΟΜΕΝΟΙΣ ΗΜΙΝ ΔΥΝΑΜΙΣ ΘΕΟΥ ΕΣΤΙΝ
1,19,ΓΕΓΡΑΠΤΑΙ ΓΑΡ ΑΠΟΛΩ ΤΗΝ ΣΟΦΙΑΝ ΤΩΝ ΣΟΦΩΝ ΚΑΙ ΤΗΝ ΣΥΝΕΣΙΝ ΤΩΝ ΣΥΝΕΤΩΝ ΑΘΕΤΗΣΩ
1,20,ΠΟΥ ΣΟΦΟΣ ΠΟΥ ΓΡΑΜΜΑΤΕΥΣ ΠΟΥ ΣΥΝΖΗΤΗΤΗΣ ΤΟΥ ΑΙΩΝΟΣ ΤΟΥΤΟΥ ΟΥΧΙ ΕΜΩΡΑΝΕΝ Ο ΘΕΟΣ ΤΗΝ ΣΟΦΙΑΝ ΤΟΥ ΚΟΣΜΟΥ
1,21,ΕΠΕΙΔΗ ΓΑΡ ΕΝ ΤΗΙ ΣΟΦΙΑΙ ΤΟΥ ΘΕΟΥ ΟΥΚ ΕΓΝΩ Ο ΚΟΣΜΟΣ ΔΙΑ ΤΗΣ ΣΟΦΙΑΣ ΤΟΝ ΘΕΟΝ ΕΥΔΟΚΗΣΕΝ Ο ΘΕΟΣ ΔΙΑ ΤΗΣ ΜΩΡΙΑΣ ΤΟΥ ΚΗΡΥΓΜΑΤΟΣ ΣΩΣΑΙ ΤΟΥΣ ΠΙΣΤΕΥΟΝΤΑΣ
1,22,ΕΠΕΙΔΗ ΚΑΙ ΙΟΥΔΑΙΟΙ ΣΗΜΕΙΑ ΑΙΤΟΥΣΙΝ ΚΑΙ ΕΛΛΗΝΕΣ ΣΟΦΙΑΝ ΖΗΤΟΥΣΙΝ
1,23,ΗΜΕΙΣ ΔΕ ΚΗΡΥΣΣΟΜΕΝ ΧΡΙΣΤΟΝ ΕΣΤΑΥΡΩΜΕΝΟΝ ΙΟΥΔΑΙΟΙΣ ΜΕΝ ΣΚΑΝΔΑΛΟΝ ΕΘΝΕΣΙΝ ΔΕ ΜΩΡΙΑΝ
1,24,ΑΥΤΟΙΣ ΔΕ ΤΟΙΣ ΚΛΗΤΟΙΣ ΙΟΥΔΑΙΟΙΣ ΤΕ ΚΑΙ ΕΛΛΗΣΙΝ ΧΡΙΣΤΟΝ ΘΕΟΥ ΔΥΝΑΜΙΝ ΚΑΙ ΘΕΟΥ ΣΟΦΙΑΝ
1,25,ΟΤΙ ΤΟ ΜΩΡΟΝ ΤΟΥ ΘΕΟΥ ΣΟΦΩΤΕΡΟΝ ΤΩΝ ΑΝΘΡΩΠΩΝ ΕΣΤΙΝ ΚΑΙ ΤΟ ΑΣΘΕΝΕΣ ΤΟΥ ΘΕΟΥ ΙΣΧΥΡΟΤΕΡΟΝ ΤΩΝ ΑΝΘΡΩΠΩΝ
1,26,ΒΛΕΠΕΤΕ ΓΑΡ ΤΗΝ ΚΛΗΣΙΝ ΥΜΩΝ ΑΔΕΛΦΟΙ ΟΤΙ ΟΥ ΠΟΛΛΟΙ ΣΟΦΟΙ ΚΑΤΑ ΣΑΡΚΑ ΟΥ ΠΟΛΛΟΙ ΔΥΝΑΤΟΙ ΟΥ ΠΟΛΛΟΙ ΕΥΓΕΝΕΙΣ
1,27,ΑΛΛΑ ΤΑ ΜΩΡΑ ΤΟΥ ΚΟΣΜΟΥ ΕΞΕΛΕΞΑΤΟ Ο ΘΕΟΣ ΙΝΑ ΚΑΤΑΙΣΧΥΝΗΙ ΤΟΥΣ ΣΟΦΟΥΣ ΚΑΙ ΤΑ ΑΣΘΕΝΗ ΤΟΥ ΚΟΣΜΟΥ ΕΞΕΛΕΞΑΤΟ Ο ΘΕΟΣ ΙΝΑ ΚΑΤΑΙΣΧΥΝΗΙ ΤΑ ΙΣΧΥΡΑ
1,28,ΚΑΙ ΤΑ ΑΓΕΝΗ ΤΟΥ ΚΟΣΜΟΥ ΚΑΙ ΤΑ ΕΞΟΥΘΕΝΗΜΕΝΑ ΕΞΕΛΕΞΑΤΟ Ο ΘΕΟΣ ΤΑ ΜΗ ΟΝΤΑ ΙΝΑ ΤΑ ΟΝΤΑ ΚΑΤΑΡΓΗΣΗΙ
1,29,ΟΠΩΣ ΜΗ ΚΑΥΧΗΣΗΤΑΙ ΠΑΣΑ ΣΑΡΞ ΕΝΩΠΙΟΝ ΤΟΥ ΘΕΟΥ
1,30,ΕΞ ΑΥΤΟΥ ΔΕ ΥΜΕΙΣ ΕΣΤΕ ΕΝ ΧΡΙΣΤΩΙ ΙΗΣΟΥ ΟΣ ΕΓΕΝΗΘΗ ΣΟΦΙΑ ΗΜΙΝ ΑΠΟ ΘΕΟΥ ΔΙΚΑΙΟΣΥΝΗ ΤΕ ΚΑΙ ΑΓΙΑΣΜΟΣ ΚΑΙ ΑΠΟΛΥΤΡΩΣΙΣ
1,31,ΙΝΑ ΚΑΘΩΣ ΓΕΓΡΑΠΤΑΙ Ο ΚΑΥΧΩΜΕΝΟΣ ΕΝ ΚΥΡΙΩΙ ΚΑΥΧΑΣΘΩ
2,1,ΚΑΓΩ ΕΛΘΩΝ ΠΡΟΣ ΥΜΑΣ ΑΔΕΛΦΟΙ ΗΛΘΟΝ ΟΥ ΚΑΤΑ ΥΠΕΡΟΧΗΝ ΛΟΓΟΥ Η ΣΟΦΙΑΣ ΚΑΤΑΓΓΕΛΛΩΝ ΥΜΙΝ ΤΟ ΜΥΣΤΗΡΙΟΝ ΤΟΥ ΘΕΟΥ
2,2,ΟΥ ΓΑΡ ΕΚΡΙΝΑ ΤΙ ΕΙΔΕΝΑΙ ΕΝ ΥΜΙΝ ΕΙ ΜΗ ΙΗΣΟΥΝ ΧΡΙΣΤΟΝ ΚΑΙ ΤΟΥΤΟΝ ΕΣΤΑΥΡΩΜΕΝΟΝ
