chapter,verse,text
1,1,ΠΑΥΛΟΣ ΑΠΟΣΤΟΛΟΣ ΟΥΚ ΑΠΟ ΑΝΘΡΩΠΩΝ ΟΥΔΕ ΔΙΑ ΑΝΘΡΩΠΟΥ ΑΛΛΑ ΔΙΑ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΚΑΙ ΘΕΟΥ ΠΑΤΡΟΣ ΤΟΥ ΕΓΕΙΡΑΝΤΟΣ ΑΥΤΟΝ ΕΚ ΝΕΚΡΩΝ
1,2,ΚΑΙ ΟΙ ΣΥΝ ΕΜΟΙ ΠΑΝΤΕΣ ΑΔΕΛΦΟΙ ΤΑΙΣ ΕΚΚΛΗΣΙΑΙΣ ΤΗΣ ΓΑΛΑΤΙΑΣ
1,3,ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΚΑΙ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,4,ΤΟΥ ΔΟΝΤΟΣ ΕΑΥΤΟΝ ΠΕΡΙ ΤΩΝ ΑΜΑΡΤΙΩΝ ΗΜΩΝ ΟΠΩΣ ΕΞΕΛΗΤΑΙ ΗΜΑΣ ΕΚ ΤΟΥ ΑΙΩΝΟΣ ΤΟΥ ΕΝΕΣΤΩΤΟΣ ΠΟΝΗΡΟΥ ΚΑΤΑ ΤΟ ΘΕΛΗΜΑ ΤΟΥ ΘΕΟΥ ΚΑΙ ΠΑΤΡΟΣ ΗΜΩΝ
1,5,ΩΙ Η ΔΟΞΑ ΕΙΣ ΤΟΥΣ ΑΙΩΝΑΣ ΤΩΝ ΑΙΩΝΩΝ ΑΜΗΝ
1,6,ΘΑΥΜΑΖΩ ΟΤΙ ΟΥΤΩΣ ΤΑΧΕΩΣ ΜΕΤΑΤΙΘΕΣΘΕ ΑΠΟ ΤΟΥ ΚΑΛΕΣΑΝΤΟΣ ΥΜΑΣ ΕΝ ΧΑΡΙΤΙ ΧΡΙΣΤΟΥ ΕΙΣ ΕΤΕΡΟΝ ΕΥΑΓΓΕΛΙΟΝ
1,7,Ο ΟΥΚ ΕΣΤΙΝ ΑΛΛΟ ΕΙ ΜΗ ΤΙΝΕΣ ΕΙΣΙΝ ΟΙ ΤΑΡΑΣΣΟΝΤΕΣ ΥΜΑΣ ΚΑΙ ΘΕΛΟΝΤΕΣ ΜΕΤΑΣΤΡΕΨΑΙ ΤΟ ΕΥΑΓΓΕΛΙΟΝ ΤΟΥ ΧΡΙΣΤΟΥ
1,8,ΑΛΛΑ ΚΑΙ ΕΑΝ ΗΜΕΙΣ Η ΑΓΓΕΛΟΣ ΕΞ ΟΥΡΑΝΟΥ ΕΥΑΓΓΕΛΙΖΗΤΑΙ ΥΜΙΝ ΠΑΡΑ Ο ΕΥΗΓΓΕΛΙΣΑΜΕΘΑ ΥΜΙΝ ΑΝΑΘΕΜΑ ΕΣΤΩ
1,9,ΩΣ ΠΡΟΕΙΡΗΚΑΜΕΝ ΚΑΙ ΑΡΤΙ ΠΑΛΙΝ ΛΕΓΩ ΕΙ ΤΙΣ ΥΜΑΣ ΕΥΑΓΓΕΛΙΖΕΤΑΙ ΠΑΡΑ Ο ΠΑΡΕΛΑΒΕΤΕ ΑΝΑΘΕΜΑ ΕΣΤΩ
1,10,ΑΡΤΙ ΓΑΡ ΑΝΘΡΩΠΟΥΣ ΠΕΙΘΩ Η ΤΟΝ ΘΕΟΝ Η ΖΗΤΩ ΑΝΘΡΩΠΟΙΣ ΑΡΕΣΚΕΙΝ ΕΙ ΕΤΙ ΑΝΘΡΩΠΟΙΣ ΗΡΕΣΚΟΝ ΧΡΙΣΤΟΥ ΔΟΥΛΟΣ ΟΥΚ ΑΝ ΗΜΗΝ
1,11,ΓΝΩΡΙΖΩ ΓΑΡ ΥΜΙΝ ΑΔΕΛΦΟΙ ΤΟ ΕΥΑΓΓΕΛΙΟΝ ΤΟ ΕΥΑΓΓΕΛΙΣΘΕΝ ΥΠΟ ΕΜΟΥ ΟΤΙ ΟΥΚ ΕΣΤΙΝ ΚΑΤΑ ΑΝΘΡΩΠΟΝ
1,12,ΟΥΔΕ ΓΑΡ ΕΓΩ ΠΑΡΑ ΑΝΘΡΩΠΟΥ ΠΑΡΕΛΑΒΟΝ ΑΥΤΟ ΟΥΤΕ ΕΔΙΔΑΧΘΗΝ ΑΛΛΑ ΔΙΑ ΑΠΟΚΑΛΥΨΕΩΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,13,ΗΚΟΥΣΑΤΕ ΓΑΡ ΤΗΝ ΕΜΗΝ ΑΝΑΣΤΡΟΦΗΝ ΠΟΤΕ ΕΝ ΤΩΙ ΙΟΥΔΑΙΣΜΩΙ ΟΤΙ ΚΑΤΑ ΥΠΕΡΒΟΛΗΝ ΕΔΙΩΚΟΝ ΤΗΝ ΕΚΚΛΗΣΙΑΝ ΤΟΥ ΘΕΟΥ ΚΑΙ ΕΠΟΡΘΟΥΝ ΑΥΤΗΝ
1,14,ΚΑΙ ΠΡΟΕΚΟΠΤΟΝ ΕΝ ΤΩΙ ΙΟΥΔΑΙΣΜΩΙ ΥΠΕΡ ΠΟΛΛΟΥΣ ΣΥΝΗΛΙΚΙΩΤΑΣ ΕΝ ΤΩΙ ΓΕΝΕΙ ΜΟΥ ΠΕΡΙΣΣΟΤΕΡΩΣ ΖΗΛΩΤΗΣ ΥΠΑΡΧΩΝ ΤΩΝ ΠΑΤΡΙΚΩΝ ΜΟΥ ΠΑΡΑΔΟΣΕΩΝ
1,15,ΟΤΕ ΔΕ ΕΥΔΟΚΗΣΕΝ Ο ΑΦΟΡΙΣΑΣ ΜΕ ΕΚ ΚΟΙΛΙΑΣ ΜΗΤΡΟΣ ΜΟΥ ΚΑΙ ΚΑΛΕΣΑΣ ΔΙΑ ΤΗΣ ΧΑΡΙΤΟΣ ΑΥΤΟΥ
1,16,ΑΠΟΚΑΛΥΨΑΙ ΤΟΝ ΥΙΟΝ ΑΥΤΟΥ ΕΝ ΕΜΟΙ ΙΝΑ ΕΥΑΓΓΕΛΙΖΩΜΑΙ ΑΥΤΟΝ ΕΝ ΤΟΙΣ ΕΘΝΕΣΙΝ ΕΥΘΕΩΣ ΟΥ ΠΡΟΣΑΝΕΘΕΜΗΝ ΣΑΡΚΙ ΚΑΙ ΑΙΜΑΤΙ
1,17,ΟΥΔΕ ΑΝΗΛΘΟΝ ΕΙΣ ΙΕΡΟΣΟΛΥΜΑ ΠΡΟΣ ΤΟΥΣ ΠΡΟ ΕΜΟΥ ΑΠΟΣΤΟΛΟΥΣ ΑΛΛΑ ΑΠΗΛΘΟΝ ΕΙΣ ΑΡΑΒΙΑΝ ΚΑΙ ΠΑΛΙΝ ΥΠΕΣΤΡΕΨΑ ΕΙΣ ΔΑΜΑΣΚΟΝ
1,18,ΕΠΕΙΤΑ ΜΕΤΑ ΕΤΗ ΤΡΙΑ ΑΝΗΛΘΟΝ ΕΙΣ ΙΕΡΟΣΟΛΥΜΑ ΙΣΤΟΡΗΣΑΙ ΚΗΦΑΝ ΚΑΙ ΕΠΕΜΕΙΝΑ ΠΡΟΣ ΑΥΤΟΝ ΗΜΕΡΑΣ ΔΕΚΑΠΕΝΤΕ
