chapter,verse,text
1,1,ΠΑΥΛΟΣ ΑΠΟΣΤΟΛΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΔΙΑ ΘΕΛΗΜΑΤΟΣ ΘΕΟΥ ΤΟΙΣ ΑΓΙΟΙΣ ΤΟΙΣ ΟΥΣΙΝ ΚΑΙ ΠΙΣΤΟΙΣ ΕΝ ΧΡΙΣΤΩΙ ΙΗΣΟΥ
1,2,ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΗΜΩΝ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,3,ΕΥΛΟΓΗΤΟΣ Ο ΘΕΟΣ ΚΑΙ ΠΑΤΗΡ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ Ο ΕΥΛΟΓΗΣΑΣ ΗΜΑΣ ΕΝ ΠΑΣΗΙ ΕΥΛΟΓΙΑΙ ΠΝΕΥΜΑΤΙΚΗΙ ΕΝ ΤΟΙΣ ΕΠΟΥΡΑΝΙΟΙΣ ΕΝ ΧΡΙΣΤΩΙ
1,4,ΚΑΘΩΣ ΕΞΕΛΕΞΑΤΟ ΗΜΑΣ ΕΝ ΑΥΤΩΙ ΠΡΟ ΚΑΤΑΒΟΛΗΣ ΚΟΣΜΟΥ ΕΙΝΑΙ ΗΜΑΣ ΑΓΙΟΥΣ ΚΑΙ ΑΜΩΜΟΥΣ ΚΑΤΕΝΩΠΙΟΝ ΑΥΤΟΥ ΕΝ ΑΓΑΠΗΙ
1,5,ΠΡΟΟΡΙΣΑΣ ΗΜΑΣ ΕΙΣ ΥΙΟΘΕΣΙΑΝ ΔΙΑ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΕΙΣ ΑΥΤΟΝ ΚΑΤΑ ΤΗΝ ΕΥΔΟΚΙΑΝ ΤΟΥ ΘΕΛΗΜΑΤΟΣ ΑΥΤΟΥ
1,6,ΕΙΣ ΕΠΑΙΝΟΝ ΔΟΞΗΣ ΤΗΣ ΧΑΡΙΤΟΣ ΑΥΤΟΥ ΗΣ ΕΧΑΡΙΤΩΣΕΝ ΗΜΑΣ ΕΝ ΤΩΙ ΗΓΑΠΗΜΕΝΩΙ
1,7,ΕΝ ΩΙ ΕΧΟΜΕΝ ΤΗΝ ΑΠΟΛΥΤΡΩΣΙΝ ΔΙΑ ΤΟΥ ΑΙΜΑΤΟΣ ΑΥΤΟΥ ΤΗΝ ΑΦΕΣΙΝ ΤΩΝ ΠΑΡΑΠΤΩΜΑΤΩΝ ΚΑΤΑ ΤΟ ΠΛΟΥΤΟΣ ΤΗΣ ΧΑΡΙΤΟΣ ΑΥΤΟΥ
1,8,ΗΣ ΕΠΕΡΙΣΣΕΥΣΕΝ ΕΙΣ ΗΜΑΣ ΕΝ ΠΑΣΗΙ ΣΟΦΙΑΙ ΚΑΙ ΦΡΟΝΗΣΕΙ
1,9,ΓΝΩΡΙΣΑΣ ΗΜΙΝ ΤΟ ΜΥΣΤΗΡΙΟΝ ΤΟΥ ΘΕΛΗΜΑΤΟΣ ΑΥΤΟΥ ΚΑΤΑ ΤΗΝ ΕΥΔΟΚΙΑΝ ΑΥΤΟΥ ΗΝ ΠΡΟΕΘΕΤΟ ΕΝ ΑΥΤΩΙ
1,10,ΕΙΣ ΟΙΚΟΝΟΜΙΑΝ ΤΟΥ ΠΛΗΡΩΜΑΤΟΣ ΤΩΝ ΚΑΙΡΩΝ ΑΝΑΚΕΦΑΛΑΙΩΣΑΣΘΑΙ ΤΑ ΠΑΝΤΑ ΕΝ ΤΩΙ ΧΡΙΣΤΩΙ ΤΑ ΕΠΙ ΤΟΙΣ ΟΥΡΑΝΟΙΣ ΚΑΙ ΤΑ ΕΠΙ ΤΗΣ ΓΗΣ ΕΝ ΑΥΤΩΙ
