chapter,verse,text
1,1,ΠΑΥΛΟΣ ΑΠΟΣΤΟΛΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΔΙΑ ΘΕΛΗΜΑΤΟΣ ΘΕΟΥ ΚΑΙ ΤΙΜΟΘΕΟΣ Ο ΑΔΕΛΦΟΣ
1,2,ΤΟΙΣ ΕΝ ΚΟΛΟΣΣΑΙΣ ΑΓΙΟΙΣ ΚΑΙ ΠΙΣΤΟΙΣ ΑΔΕΛΦΟΙΣ ΕΝ ΧΡΙΣΤΩΙ ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΗΜΩΝ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,3,ΕΥΧΑΡΙΣΤΟΥΜΕΝ ΤΩΙ ΘΕΩΙ ΠΑΤΡΙ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΠΑΝΤΟΤΕ ΠΕΡΙ ΥΜΩΝ ΠΡΟΣΕΥΧΟΜΕΝΟΙ
1,4,ΑΚΟΥΣΑΝΤΕΣ ΤΗΝ ΠΙΣΤΙΝ ΥΜΩΝ ΕΝ ΧΡΙΣΤΩΙ ΙΗΣΟΥ ΚΑΙ ΤΗΝ ΑΓΑΠΗΝ ΗΝ ΕΧΕΤΕ ΕΙΣ ΠΑΝΤΑΣ ΤΟΥΣ ΑΓΙΟΥΣ
1,5,ΔΙΑ ΤΗΝ ΕΛΠΙΔΑ ΤΗΝ ΑΠΟΚΕΙΜΕΝΗΝ ΥΜΙΝ ΕΝ ΤΟΙΣ ΟΥΡΑΝΟΙΣ ΗΝ ΠΡΟΗΚΟΥΣΑΤΕ ΕΝ ΤΩΙ ΛΟΓΩΙ ΤΗΣ ΑΛΗΘΕΙΑΣ ΤΟΥ ΕΥΑΓΓΕΛΙΟΥ
1,6,ΤΟΥ ΠΑΡΟΝΤΟΣ ΕΙΣ ΥΜΑΣ ΚΑΘΩΣ ΚΑΙ ΕΝ ΠΑΝΤΙ ΤΩΙ ΚΟΣΜΩΙ ΕΣΤΙΝ ΚΑΡΠΟΦΟΡΟΥΜΕΝΟΝ ΚΑΙ ΑΥΞΑΝΟΜΕΝΟΝ ΚΑΘΩΣ ΚΑΙ ΕΝ ΥΜΙΝ ΑΠΟ ΗΣ ΗΜΕΡΑΣ ΗΚΟΥΣΑΤΕ ΚΑΙ ΕΠΕΓΝΩΤΕ ΤΗΝ ΧΑΡΙΝ ΤΟΥ ΘΕΟΥ ΕΝ ΑΛΗΘΕΙΑΙ
1,7,ΚΑΘΩΣ ΕΜΑΘΕΤΕ ΑΠΟ ΕΠΑΦΡΑ ΤΟΥ ΑΓΑΠΗΤΟΥ ΣΥΝΔΟΥΛΟΥ ΗΜΩΝ ΟΣ ΕΣΤΙΝ ΠΙΣΤΟΣ ΥΠΕΡ ΗΜΩΝ ΔΙΑΚΟΝΟΣ ΤΟΥ ΧΡΙΣΤΟΥ
1,8,Ο ΚΑΙ ΔΗΛΩΣΑΣ ΗΜΙΝ ΤΗΝ ΥΜΩΝ ΑΓΑΠΗΝ ΕΝ ΠΝΕΥΜΑΤΙ
1,9,ΔΙΑ ΤΟΥΤΟ ΚΑΙ ΗΜΕΙΣ ΑΠΟ ΗΣ ΗΜΕΡΑΣ ΗΚΟΥΣΑΜΕΝ ΟΥ ΠΑΥΟΜΕΘΑ ΥΠΕΡ ΥΜΩΝ ΠΡΟΣΕΥΧΟΜΕΝΟΙ ΚΑΙ ΑΙΤΟΥΜΕΝΟΙ ΙΝΑ ΠΛΗΡΩΘΗΤΕ ΤΗΝ ΕΠΙΓΝΩΣΙΝ ΤΟΥ ΘΕΛΗΜΑΤΟΣ ΑΥΤΟΥ ΕΝ ΠΑΣΗΙ ΣΟΦΙΑΙ ΚΑΙ ΣΥΝΕΣΕΙ ΠΝΕΥΜΑΤΙΚΗΙ
1,10,ΠΕΡΙΠΑΤΗΣΑΙ ΑΞΙΩΣ ΤΟΥ ΚΥΡΙΟΥ ΕΙΣ ΠΑΣΑΝ ΑΡΕΣΚΕΙΑΝ ΕΝ ΠΑΝΤΙ ΕΡΓΩΙ ΑΓΑΘΩΙ ΚΑΡΠΟΦΟΡΟΥΝΤΕΣ ΚΑΙ ΑΥΞΑΝΟΜΕΝΟΙ ΤΗΙ ΕΠΙΓΝΩΣΕΙ ΤΟΥ ΘΕΟΥ
