chapter,verse,text
1,1,ΠΑΥΛΟΣ ΚΑΙ ΣΙΛΟΥΑΝΟΣ ΚΑΙ ΤΙΜΟΘΕΟΣ ΤΗΙ ΕΚΚΛΗΣΙΑΙ ΘΕΣΣΑΛΟΝΙΚΕΩΝ ΕΝ ΘΕΩΙ ΠΑΤΡΙ ΗΜΩΝ ΚΑΙ ΚΥΡΙΩΙ ΙΗΣΟΥ ΧΡΙΣΤΩΙ
1,2,ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,3,ΕΥΧΑΡΙΣΤΕΙΝ ΟΦΕΙΛΟΜΕΝ ΤΩΙ ΘΕΩΙ ΠΑΝΤΟΤΕ ΠΕΡΙ ΥΜΩΝ ΑΔΕΛΦΟΙ ΚΑΘΩΣ ΑΞΙΟΝ ΕΣΤΙΝ ΟΤΙ ΥΠΕΡΑΥΞΑΝΕΙ Η ΠΙΣΤΙΣ ΥΜΩΝ ΚΑΙ ΠΛΕΟΝΑΖΕΙ Η ΑΓΑΠΗ ΕΝΟΣ ΕΚΑΣΤΟΥ ΠΑΝΤΩΝ ΥΜΩΝ ΕΙΣ ΑΛΛΗΛΟΥΣ
1,4,ΩΣΤΕ ΑΥΤΟΥΣ ΗΜΑΣ ΕΝ ΥΜΙΝ ΕΝΚΑΥΧΑΣΘΑΙ ΕΝ ΤΑΙΣ ΕΚΚΛΗΣΙΑΙΣ ΤΟΥ ΘΕΟΥ ΥΠΕΡ ΤΗΣ ΥΠΟΜΟΝΗΣ ΥΜΩΝ ΚΑΙ ΠΙΣΤΕΩΣ ΕΝ ΠΑΣΙΝ ΤΟΙΣ ΔΙΩΓΜΟΙΣ ΥΜΩΝ ΚΑΙ ΤΑΙΣ ΘΛΙΨΕΣΙΝ ΑΙΣ ΑΝΕΧΕΣΘΕ
1,5,ΕΝΔΕΙΓΜΑ ΤΗΣ ΔΙΚΑΙΑΣ ΚΡΙΣΕΩΣ ΤΟΥ ΘΕΟΥ ΕΙΣ ΤΟ ΚΑΤΑΞΙΩΘΗΝΑΙ ΥΜΑΣ ΤΗΣ ΒΑΣΙΛΕΙΑΣ ΤΟΥ ΘΕΟΥ ΥΠΕΡ ΗΣ ΚΑΙ ΠΑΣΧΕΤΕ
1,6,ΕΙΠΕΡ ΔΙΚΑΙΟΝ ΠΑΡΑ ΘΕΩΙ ΑΝΤΑΠΟΔΟΥΝΑΙ ΤΟΙΣ ΘΛΙΒΟΥΣΙΝ ΥΜΑΣ ΘΛΙΨΙΝ
1,7,ΚΑΙ ΥΜΙΝ ΤΟΙΣ ΘΛΙΒΟΜΕΝΟΙΣ ΑΝΕΣΙΝ ΜΕΤΑ ΗΜΩΝ ΕΝ ΤΗΙ ΑΠΟΚΑΛΥΨΕΙ ΤΟΥ ΚΥΡΙΟΥ ΙΗΣΟΥ ΑΠΟ ΟΥΡΑΝΟΥ ΜΕΤΑ ΑΓΓΕΛΩΝ ΔΥΝΑΜΕΩΣ ΑΥΤΟΥ
1,8,ΕΝ ΠΥΡΙ ΦΛΟΓΟΣ ΔΙΔΟΝΤΟΣ ΕΚΔΙΚΗΣΙΝ ΤΟΙΣ ΜΗ ΕΙΔΟΣΙ ΘΕΟΝ ΚΑΙ ΤΟΙΣ ΜΗ ΥΠΑΚΟΥΟΥΣΙΝ ΤΩΙ ΕΥΑΓΓΕΛΙΩΙ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ
1,9,ΟΙΤΙΝΕΣ ΔΙΚΗΝ ΤΙΣΟΥΣΙΝ ΟΛΕΘΡΟΝ ΑΙΩΝΙΟΝ ΑΠΟ ΠΡΟΣΩΠΟΥ ΤΟΥ ΚΥΡΙΟΥ ΚΑΙ ΑΠΟ ΤΗΣ ΔΟΞΗΣ ΤΗΣ ΙΣΧΥΟΣ ΑΥΤΟΥ
1,10,ΟΤΑΝ ΕΛΘΗΙ ΕΝΔΟΞΑΣΘΗΝΑΙ ΕΝ ΤΟΙΣ ΑΓΙΟΙΣ ΑΥΤΟΥ ΚΑΙ ΘΑΥΜΑΣΘΗΝΑΙ ΕΝ ΠΑΣΙΝ ΤΟΙΣ ΠΙΣΤΕΥΣΑΣΙΝ ΟΤΙ ΕΠΙΣΤΕΥΘΗ ΤΟ ΜΑΡΤΥΡΙΟΝ ΗΜΩΝ ΕΠΙ ΥΜΑΣ ΕΝ ΤΗΙ ΗΜΕΡΑΙ ΕΚΕΙΝΗΙ
