chapter,verse,text
1,1,ΠΑΥΛΟΣ ΑΠΟΣΤΟΛΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΚΑΤΑ ΕΠΙΤΑΓΗΝ ΘΕΟΥ ΣΩΤΗΡΟΣ ΗΜΩΝ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΤΗΣ ΕΛΠΙΔΟΣ ΗΜΩΝ
1,2,ΤΙΜΟΘΕΩΙ ΓΝΗΣΙΩΙ ΤΕΚΝΩΙ ΕΝ ΠΙΣΤΕΙ ΧΑΡΙΣ ΕΛΕΟΣ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΚΑΙ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ
1,3,ΚΑΘΩΣ ΠΑΡΕΚΑΛΕΣΑ ΣΕ ΠΡΟΣΜΕΙΝΑΙ ΕΝ ΕΦΕΣΩΙ ΠΟΡΕΥΟΜΕΝΟΣ ΕΙΣ ΜΑΚΕΔΟΝΙΑΝ ΙΝΑ ΠΑΡΑΓΓΕΙΛΗΙΣ ΤΙΣΙΝ ΜΗ ΕΤΕΡΟΔΙΔΑΣΚΑΛΕΙΝ
1,4,ΜΗΔΕ ΠΡΟΣΕΧΕΙΝ ΜΥΘΟΙΣ ΚΑΙ ΓΕΝΕΑΛΟΓΙΑΙΣ ΑΠΕΡΑΝΤΟΙΣ ΑΙΤΙΝΕΣ ΕΚΖΗΤΗΣΕΙΣ ΠΑΡΕΧΟΥΣΙ ΜΑΛΛΟΝ Η ΟΙΚΟΝΟΜΙΑΝ ΘΕΟΥ ΤΗΝ ΕΝ ΠΙΣΤΕΙ
1,5,ΤΟ ΔΕ ΤΕΛΟΣ ΤΗΣ ΠΑΡΑΓΓΕΛΙΑΣ ΕΣΤΙΝ ΑΓΑΠΗ ΕΚ ΚΑΘΑΡΑΣ ΚΑΡΔΙΑΣ ΚΑΙ ΣΥΝΕΙΔΗΣΕΩΣ ΑΓΑΘΗΣ ΚΑΙ ΠΙΣΤΕΩΣ ΑΝΥΠΟΚΡΙΤΟΥ
1,6,ΩΝ ΤΙΝΕΣ ΑΣΤΟΧΗΣΑΝΤΕΣ ΕΞΕΤΡΑΠΗΣΑΝ ΕΙΣ ΜΑΤΑΙΟΛΟΓΙΑΝ
1,7,ΘΕΛΟΝΤΕΣ ΕΙΝΑΙ ΝΟΜΟΔΙΔΑΣΚΑΛΟΙ ΜΗ ΝΟΟΥΝΤΕΣ ΜΗΤΕ Α ΛΕΓΟΥΣΙΝ ΜΗΤΕ ΠΕΡΙ ΤΙΝΩΝ ΔΙΑΒΕΒΑΙΟΥΝΤΑΙ
1,8,ΟΙΔΑΜΕΝ ΔΕ ΟΤΙ ΚΑΛΟΣ Ο ΝΟΜΟΣ ΕΑΝ ΤΙΣ ΑΥΤΩΙ ΝΟΜΙΜΩΣ ΧΡΗΤΑΙ
1,9,ΕΙΔΩΣ ΤΟΥΤΟ ΟΤΙ ΔΙΚΑΙΩΙ ΝΟΜΟΣ ΟΥ ΚΕΙΤΑΙ ΑΝΟΜΟΙΣ ΔΕ ΚΑΙ ΑΝΥΠΟΤΑΚΤΟΙΣ ΑΣΕΒΕΣΙ ΚΑΙ ΑΜΑΡΤΩΛΟΙΣ ΑΝΟΣΙΟΙΣ ΚΑΙ ΒΕΒΗΛΟΙΣ ΠΑΤΡΟΛΩΙΑΙΣ ΚΑΙ ΜΗΤΡΟΛΩΙΑΙΣ ΑΝΔΡΟΦΟΝΟΙΣ
1,10,ΠΟΡΝΟΙΣ ΑΡΣΕΝΟΚΟΙΤΑΙΣ ΑΝΔΡΑΠΟΔΙΣΤΑΙΣ ΨΕΥΣΤΑΙΣ ΕΠΙΟΡΚΟΙΣ ΚΑΙ ΕΙ ΤΙ ΕΤΕΡΟΝ ΤΗΙ ΥΓΙΑΙΝΟΥΣΗΙ ΔΙΔΑΣΚΑΛΙΑΙ ΑΝΤΙΚΕΙΤΑΙ
1,11,ΚΑΤΑ ΤΟ ΕΥΑΓΓΕΛΙΟΝ ΤΗΣ ΔΟΞΗΣ ΤΟΥ ΜΑΚΑΡΙΟΥ ΘΕΟΥ Ο ΕΠΙΣΤΕΥΘΗΝ ΕΓΩ
1,12,ΧΑΡΙΝ ΕΧΩ ΤΩΙ ΕΝΔΥΝΑΜΩΣΑΝΤΙ ΜΕ ΧΡΙΣΤΩΙ ΙΗΣΟΥ ΤΩΙ ΚΥΡΙΩΙ ΗΜΩΝ ΟΤΙ ΠΙΣΤΟΝ ΜΕ ΗΓΗΣΑΤΟ ΘΕΜΕΝΟΣ ΕΙΣ ΔΙΑΚΟΝΙΑΝ
1,13,ΤΟ ΠΡΟΤΕΡΟΝ ΟΝΤΑ ΒΛΑΣΦΗΜΟΝ ΚΑΙ ΔΙΩΚΤΗΝ ΚΑΙ ΥΒΡΙΣΤΗΝ ΑΛΛΑ ΗΛΕΗΘΗΝ ΟΤΙ ΑΓΝΟΩΝ ΕΠΟΙΗΣΑ ΕΝ ΑΠΙΣΤΙΑΙ
1,14,ΥΠΕΡΕΠΛΕΟΝΑΣΕΝ ΔΕ Η ΧΑΡΙΣ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΜΕΤΑ ΠΙΣΤΕΩΣ ΚΑΙ ΑΓΑΠΗΣ ΤΗΣ ΕΝ ΧΡΙΣΤΩΙ ΙΗΣΟΥ
1,15,ΠΙΣΤΟΣ Ο ΛΟΓΟΣ ΚΑΙ ΠΑΣΗΣ ΑΠΟΔΟΧΗΣ ΑΞΙΟΣ ΟΤΙ ΧΡΙΣΤΟΣ ΙΗΣΟΥΣ ΗΛΘΕΝ ΕΙΣ ΤΟΝ ΚΟΣΜΟΝ ΑΜΑΡΤΩΛΟΥΣ ΣΩΣΑΙ ΩΝ ΠΡΩΤΟΣ ΕΙΜΙ ΕΓΩ
1,16,ΑΛΛΑ ΔΙΑ ΤΟΥΤΟ ΗΛΕΗΘΗΝ ΙΝΑ ΕΝ ΕΜΟΙ ΠΡΩΤΩΙ ΕΝΔΕΙΞΗΤΑΙ ΙΗΣΟΥΣ ΧΡΙΣΤΟΣ ΤΗΝ ΑΠΑΣΑΝ ΜΑΚΡΟΘΥΜΙΑΝ ΠΡΟΣ ΥΠΟΤΥΠΩΣΙΝ ΤΩΝ ΜΕΛΛΟΝΤΩΝ ΠΙΣΤΕΥΕΙΝ ΕΠΙ ΑΥΤΩΙ ΕΙΣ ΖΩΗΝ ΑΙΩΝΙΟΝ
1,17,ΤΩΙ ΔΕ ΒΑΣΙΛΕΙ ΤΩΝ ΑΙΩΝΩΝ ΑΦΘΑΡΤΩΙ ΑΟΡΑΤΩΙ ΜΟΝΩΙ ΘΕΩΙ ΤΙΜΗ ΚΑΙ ΔΟΞΑ ΕΙΣ ΤΟΥΣ ΑΙΩΝΑΣ ΤΩΝ ΑΙΩΝΩΝ ΑΜΗΝ
1,18,ΤΑΥΤΗΝ ΤΗΝ ΠΑΡΑΓΓΕΛΙΑΝ ΠΑΡΑΤΙΘΕΜΑΙ ΣΟΙ ΤΕΚΝΟΝ ΤΙΜΟΘΕΕ ΚΑΤΑ ΤΑΣ ΠΡΟΑΓΟΥΣΑΣ ΕΠΙ ΣΕ ΠΡΟΦΗΤΕΙΑΣ ΙΝΑ ΣΤΡΑΤΕΥΗΙ ΕΝ ΑΥΤΑΙΣ ΤΗΝ ΚΑΛΗΝ ΣΤΡΑΤΕΙΑΝ
1,19,ΕΧΩΝ ΠΙΣΤΙΝ ΚΑΙ ΑΓΑΘΗΝ ΣΥΝΕΙΔΗΣΙΝ ΗΝ ΤΙΝΕΣ ΑΠΩΣΑΜΕΝΟΙ ΠΕΡΙ ΤΗΝ ΠΙΣΤΙΝ ΕΝΑΥΑΓΗΣΑΝ
1,20,ΩΝ ΕΣΤΙΝ ΥΜΕΝΑΙΟΣ ΚΑΙ ΑΛΕΞΑΝΔΡΟΣ ΟΥΣ ΠΑΡΕΔΩΚΑ ΤΩΙ ΣΑΤΑΝΑΙ ΙΝΑ ΠΑΙΔΕΥΘΩΣΙ ΜΗ ΒΛΑΣΦΗΜΕΙΝ
2,1,ΠΑΡΑΚΑΛΩ ΟΥΝ ΠΡΩΤΟΝ ΠΑΝΤΩΝ ΠΟΙΕΙΣΘΑΙ ΔΕΗΣΕΙΣ ΠΡΟΣΕΥΧΑΣ ΕΝΤΕΥΞΕΙΣ ΕΥΧΑΡΙΣΤΙΑΣ ΥΠΕΡ ΠΑΝΤΩΝ ΑΝΘΡΩΠΩΝ
2,2,ΥΠΕΡ ΒΑΣΙΛΕΩΝ ΚΑΙ ΠΑΝΤΩΝ ΤΩΝ ΕΝ ΥΠΕΡΟΧΗΙ ΟΝΤΩΝ ΙΝΑ ΗΡΕΜΟΝ ΚΑΙ ΗΣΥΧΙΟΝ ΒΙΟΝ ΔΙΑΓΩΜΕΝ ΕΝ ΠΑΣΗΙ ΕΥΣΕΒΕΙΑΙ ΚΑΙ ΣΕΜΝΟΤΗΤΙ
2,3,ΤΟΥΤΟ ΚΑΛΟΝ ΚΑΙ ΑΠΟΔΕΚΤΟΝ ΕΝΩΠΙΟΝ ΤΟΥ ΣΩΤΗΡΟΣ ΗΜΩΝ ΘΕΟΥ
2,4,ΟΣ ΠΑΝΤΑΣ ΑΝΘΡΩΠΟΥΣ ΘΕΛΕΙ ΣΩΘΗΝΑΙ ΚΑΙ ΕΙΣ ΕΠΙΓΝΩΣΙΝ ΑΛΗΘΕΙΑΣ ΕΛΘΕΙΝ
2,5,ΕΙΣ ΓΑΡ ΘΕΟΣ ΕΙΣ ΚΑΙ ΜΕΣΙΤΗΣ ΘΕΟΥ ΚΑΙ ΑΝΘΡΩΠΩΝ ΑΝΘΡΩΠΟΣ ΧΡΙΣΤΟΣ ΙΗΣΟΥΣ
2,6,Ο ΔΟΥΣ ΕΑΥΤΟΝ ΑΝΤΙΛΥΤΡΟΝ ΥΠΕΡ ΠΑΝΤΩΝ ΤΟ ΜΑΡΤΥΡΙΟΝ ΚΑΙΡΟΙΣ ΙΔΙΟΙΣ
2,7,ΕΙΣ Ο ΕΤΕΘΗΝ ΕΓΩ ΚΗΡΥΞ ΚΑΙ ΑΠΟΣΤΟΛΟΣ ΑΛΗΘΕΙΑΝ ΛΕΓΩ ΕΝ ΧΡΙΣΤΩΙ ΟΥ ΨΕΥΔΟΜΑΙ ΔΙΔΑΣΚΑΛΟΣ ΕΘΝΩΝ ΕΝ ΠΙΣΤΕΙ ΚΑΙ ΑΛΗΘΕΙΑΙ
2,8,ΒΟΥΛΟΜΑΙ ΟΥΝ ΠΡΟΣΕΥΧΕΣΘΑΙ ΤΟΥΣ ΑΝΔΡΑΣ ΕΝ ΠΑΝΤΙ ΤΟΠΩΙ ΕΠΑΙΡΟΝΤΑΣ ΟΣΙΟΥΣ ΧΕΙΡΑΣ ΧΩΡΙΣ ΟΡΓΗΣ ΚΑΙ ΔΙΑΛΟΓΙΣΜΟΥ
2,9,ΩΣΑΥΤΩΣ ΓΥΝΑΙΚΑΣ ΕΝ ΚΑΤΑΣΤΟΛΗΙ ΚΟΣΜΙΩΙ ΜΕΤΑ ΑΙΔΟΥΣ ΚΑΙ ΣΩΦΡΟΣΥΝΗΣ ΚΟΣΜΕΙΝ ΕΑΥΤΑΣ ΜΗ ΕΝ ΠΛΕΓΜΑΣΙΝ ΚΑΙ ΧΡΥΣΩΙ Η ΜΑΡΓΑΡΙΤΑΙΣ Η ΙΜΑΤΙΣΜΩΙ ΠΟΛΥΤΕΛΕΙ
2,10,ΑΛΛΑ Ο ΠΡΕΠΕΙ ΓΥΝΑΙΞΙΝ ΕΠΑΓΓΕΛΛΟΜΕΝΑΙΣ ΘΕΟΣΕΒΕΙΑΝ ΔΙΑ ΕΡΓΩΝ ΑΓΑΘΩΝ
2,11,ΓΥΝΗ ΕΝ ΗΣΥΧΙΑΙ ΜΑΝΘΑΝΕΤΩ ΕΝ ΠΑΣΗΙ ΥΠΟΤΑΓΗΙ
2,12,ΔΙΔΑΣΚΕΙΝ ΔΕ ΓΥΝΑΙΚΙ ΟΥΚ ΕΠΙΤΡΕΠΩ ΟΥΔΕ ΑΥΘΕΝΤΕΙΝ ΑΝΔΡΟΣ ΑΛΛΑ ΕΙΝΑΙ ΕΝ ΗΣΥΧΙΑΙ
2,13,ΑΔΑΜ ΓΑΡ ΠΡΩΤΟΣ ΕΠΛΑΣΘΗ ΕΙΤΑ ΕΥΑ
2,14,ΚΑΙ ΑΔΑΜ ΟΥΚ ΗΠΑΤΗΘΗ Η ΔΕ ΓΥΝΗ ΕΞΑΠΑΤΗΘΕΙΣΑ ΕΝ ΠΑΡΑΒΑΣΕΙ ΓΕΓΟΝΕΝ
2,15,ΣΩΘΗΣΕΤΑΙ ΔΕ ΔΙΑ ΤΗΣ ΤΕΚΝΟΓΟΝΙΑΣ ΕΑΝ ΜΕΙΝΩΣΙΝ ΕΝ ΠΙΣΤΕΙ ΚΑΙ ΑΓΑΠΗΙ ΚΑΙ ΑΓΙΑΣΜΩΙ ΜΕΤΑ ΣΩΦΡΟΣΥΝΗΣ
3,1,ΠΙΣΤΟΣ Ο ΛΟΓΟΣ ΕΙ ΤΙΣ ΕΠΙΣΚΟΠΗΣ ΟΡΕΓΕΤΑΙ ΚΑΛΟΥ ΕΡΓΟΥ ΕΠΙΘΥΜΕΙ
