chapter,verse,text
1,1,ΠΑΥΛΟΣ ΔΟΥΛΟΣ ΘΕΟΥ ΑΠΟΣΤΟΛΟΣ ΔΕ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΚΑΤΑ ΠΙΣΤΙΝ ΕΚΛΕΚΤΩΝ ΘΕΟΥ ΚΑΙ ΕΠΙΓΝΩΣΙΝ ΑΛΗΘΕΙΑΣ ΤΗΣ ΚΑΤΑ ΕΥΣΕΒΕΙΑΝ
1,2,ΕΠΙ ΕΛΠΙΔΙ ΖΩΗΣ ΑΙΩΝΙΟΥ ΗΝ ΕΠΗΓΓΕΙΛΑΤΟ Ο ΑΨΕΥΔΗΣ ΘΕΟΣ ΠΡΟ ΧΡΟΝΩΝ ΑΙΩΝΙΩΝ
1,3,ΕΦΑΝΕΡΩΣΕΝ ΔΕ ΚΑΙΡΟΙΣ ΙΔΙΟΙΣ ΤΟΝ ΛΟΓΟΝ ΑΥΤΟΥ ΕΝ ΚΗΡΥΓΜΑΤΙ Ο ΕΠΙΣΤΕΥΘΗΝ ΕΓΩ ΚΑΤΑ ΕΠΙΤΑΓΗΝ ΤΟΥ ΣΩΤΗΡΟΣ ΗΜΩΝ ΘΕΟΥ
1,4,ΤΙΤΩΙ ΓΝΗΣΙΩΙ ΤΕΚΝΩΙ ΚΑΤΑ ΚΟΙΝΗΝ ΠΙΣΤΙΝ ΧΑΡΙΣ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΚΑΙ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΤΟΥ ΣΩΤΗΡΟΣ ΗΜΩΝ
1,5,ΤΟΥΤΟΥ ΧΑΡΙΝ ΑΠΕΛΙΠΟΝ ΣΕ ΕΝ ΚΡΗΤΗΙ ΙΝΑ ΤΑ ΛΕΙΠΟΝΤΑ ΕΠΙΔΙΟΡΘΩΣΗΙ ΚΑΙ ΚΑΤΑΣΤΗΣΗΙΣ ΚΑΤΑ ΠΟΛΙΝ ΠΡΕΣΒΥΤΕΡΟΥΣ ΩΣ ΕΓΩ ΣΟΙ ΔΙΕΤΑΞΑΜΗΝ
1,6,ΕΙ ΤΙΣ ΕΣΤΙΝ ΑΝΕΓΚΛΗΤΟΣ ΜΙΑΣ ΓΥΝΑΙΚΟΣ ΑΝΗΡ ΤΕΚΝΑ ΕΧΩΝ ΠΙΣΤΑ ΜΗ ΕΝ ΚΑΤΗΓΟΡΙΑΙ ΑΣΩΤΙΑΣ Η ΑΝΥΠΟΤΑΚΤΑ
1,7,ΔΕΙ ΓΑΡ ΤΟΝ ΕΠΙΣΚΟΠΟΝ ΑΝΕΓΚΛΗΤΟΝ ΕΙΝΑΙ ΩΣ ΘΕΟΥ ΟΙΚΟΝΟΜΟΝ ΜΗ ΑΥΘΑΔΗ ΜΗ ΟΡΓΙΛΟΝ ΜΗ ΠΑΡΟΙΝΟΝ ΜΗ ΠΛΗΚΤΗΝ ΜΗ ΑΙΣΧΡΟΚΕΡΔΗ
1,8,ΑΛΛΑ ΦΙΛΟΞΕΝΟΝ ΦΙΛΑΓΑΘΟΝ ΣΩΦΡΟΝΑ ΔΙΚΑΙΟΝ ΟΣΙΟΝ ΕΓΚΡΑΤΗ
1,9,ΑΝΤΕΧΟΜΕΝΟΝ ΤΟΥ ΚΑΤΑ ΤΗΝ ΔΙΔΑΧΗΝ ΠΙΣΤΟΥ ΛΟΓΟΥ ΙΝΑ ΔΥΝΑΤΟΣ ΗΙ ΚΑΙ ΠΑΡΑΚΑΛΕΙΝ ΕΝ ΤΗΙ ΔΙΔΑΣΚΑΛΙΑΙ ΤΗΙ ΥΓΙΑΙΝΟΥΣΗΙ ΚΑΙ ΤΟΥΣ ΑΝΤΙΛΕΓΟΝΤΑΣ ΕΛΕΓΧΕΙΝ
1,10,ΕΙΣΙΝ ΓΑΡ ΠΟΛΛΟΙ ΚΑΙ ΑΝΥΠΟΤΑΚΤΟΙ ΜΑΤΑΙΟΛΟΓΟΙ ΚΑΙ ΦΡΕΝΑΠΑΤΑΙ ΜΑΛΙΣΤΑ ΟΙ ΕΚ ΤΗΣ ΠΕΡΙΤΟΜΗΣ
1,11,ΟΥΣ ΔΕΙ ΕΠΙΣΤΟΜΙΖΕΙΝ ΟΙΤΙΝΕΣ ΟΛΟΥΣ ΟΙΚΟΥΣ ΑΝΑΤΡΕΠΟΥΣΙΝ ΔΙΔΑΣΚΟΝΤΕΣ Α ΜΗ ΔΕΙ ΑΙΣΧΡΟΥ ΚΕΡΔΟΥΣ ΧΑΡΙΝ
1,12,ΕΙΠΕΝ ΤΙΣ ΕΞ ΑΥΤΩΝ ΙΔΙΟΣ ΑΥΤΩΝ ΠΡΟΦΗΤΗΣ ΚΡΗΤΕΣ ΑΕΙ ΨΕΥΣΤΑΙ ΚΑΚΑ ΘΗΡΙΑ ΓΑΣΤΕΡΕΣ ΑΡΓΑΙ
