chapter,verse,text
1,1,ΠΑΥΛΟΣ ΔΕΣΜΙΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ ΚΑΙ ΤΙΜΟΘΕΟΣ Ο ΑΔΕΛΦΟΣ ΦΙΛΗΜΟΝΙ ΤΩΙ ΑΓΑΠΗΤΩΙ ΚΑΙ ΣΥΝΕΡΓΩΙ ΗΜΩΝ
1,2,ΚΑΙ ΑΠΦΙΑΙ ΤΗΙ ΑΔΕΛΦΗΙ ΚΑΙ ΑΡΧΙΠΠΩΙ ΤΩΙ ΣΥΝΣΤΡΑΤΙΩΤΗΙ ΗΜΩΝ ΚΑΙ ΤΗΙ ΚΑΤΑ ΟΙΚΟΝ ΣΟΥ ΕΚΚΛΗΣΙΑΙ
1,3,ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ ΘΕΟΥ ΠΑΤΡΟΣ ΗΜΩΝ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,4,ΕΥΧΑΡΙΣΤΩ ΤΩΙ ΘΕΩΙ ΜΟΥ ΠΑΝΤΟΤΕ ΜΝΕΙΑΝ ΣΟΥ ΠΟΙΟΥΜΕΝΟΣ ΕΠΙ ΤΩΝ ΠΡΟΣΕΥΧΩΝ ΜΟΥ
1,5,ΑΚΟΥΩΝ ΣΟΥ ΤΗΝ ΑΓΑΠΗΝ ΚΑΙ ΤΗΝ ΠΙΣΤΙΝ ΗΝ ΕΧΕΙΣ ΠΡΟΣ ΤΟΝ ΚΥΡΙΟΝ ΙΗΣΟΥΝ ΚΑΙ ΕΙΣ ΠΑΝΤΑΣ ΤΟΥΣ ΑΓΙΟΥΣ
1,6,ΟΠΩΣ Η ΚΟΙΝΩΝΙΑ ΤΗΣ ΠΙΣΤΕΩΣ ΣΟΥ ΕΝΕΡΓΗΣ ΓΕΝΗΤΑΙ ΕΝ ΕΠΙΓΝΩΣΕΙ ΠΑΝΤΟΣ ΑΓΑΘΟΥ ΤΟΥ ΕΝ ΗΜΙΝ ΕΙΣ ΧΡΙΣΤΟΝ
1,7,ΧΑΡΑΝ ΓΑΡ ΠΟΛΛΗΝ ΕΣΧΟΝ ΚΑΙ ΠΑΡΑΚΛΗΣΙΝ ΕΠΙ ΤΗΙ ΑΓΑΠΗΙ ΣΟΥ ΟΤΙ ΤΑ ΣΠΛΑΓΧΝΑ ΤΩΝ ΑΓΙΩΝ ΑΝΑΠΕΠΑΥΤΑΙ ΔΙΑ ΣΟΥ ΑΔΕΛΦΕ
1,8,ΔΙΟ ΠΟΛΛΗΝ ΕΝ ΧΡΙΣΤΩΙ ΠΑΡΡΗΣΙΑΝ ΕΧΩΝ ΕΠΙΤΑΣΣΕΙΝ ΣΟΙ ΤΟ ΑΝΗΚΟΝ
1,9,ΔΙΑ ΤΗΝ ΑΓΑΠΗΝ ΜΑΛΛΟΝ ΠΑΡΑΚΑΛΩ ΤΟΙΟΥΤΟΣ ΩΝ ΩΣ ΠΑΥΛΟΣ ΠΡΕΣΒΥΤΗΣ ΝΥΝΙ ΔΕ ΚΑΙ ΔΕΣΜΙΟΣ ΧΡΙΣΤΟΥ ΙΗΣΟΥ
1,10,ΠΑΡΑΚΑΛΩ ΣΕ ΠΕΡΙ ΤΟΥ ΕΜΟΥ ΤΕΚΝΟΥ ΟΝ ΕΓΕΝΝΗΣΑ ΕΝ ΤΟΙΣ ΔΕΣΜΟΙΣ ΟΝΗΣΙΜΟΝ
1,11,ΤΟΝ ΠΟΤΕ ΣΟΙ ΑΧΡΗΣΤΟΝ ΝΥΝΙ ΔΕ ΚΑΙ ΣΟΙ ΚΑΙ ΕΜΟΙ ΕΥΧΡΗΣΤΟΝ
1,12,ΟΝ ΑΝΕΠΕΜΨΑ ΣΟΙ ΑΥΤΟΝ ΤΟΥΤΟ ΕΣΤΙΝ ΤΑ ΕΜΑ ΣΠΛΑΓΧΝΑ
1,13,ΟΝ ΕΓΩ ΕΒΟΥΛΟΜΗΝ ΠΡΟΣ ΕΜΑΥΤΟΝ ΚΑΤΕΧΕΙΝ ΙΝΑ ΥΠΕΡ ΣΟΥ ΜΟΙ ΔΙΑΚΟΝΗΙ ΕΝ ΤΟΙΣ ΔΕΣΜΟΙΣ ΤΟΥ ΕΥΑΓΓΕΛΙΟΥ
1,14,ΧΩΡΙΣ ΔΕ ΤΗΣ ΣΗΣ ΓΝΩΜΗΣ ΟΥΔΕΝ ΗΘΕΛΗΣΑ ΠΟΙΗΣΑΙ ΙΝΑ ΜΗ ΩΣ ΚΑΤΑ ΑΝΑΓΚΗΝ ΤΟ ΑΓΑΘΟΝ ΣΟΥ ΗΙ ΑΛΛΑ ΚΑΤΑ ΕΚΟΥΣΙΟΝ
1,15,ΤΑΧΑ ΓΑΡ ΔΙΑ ΤΟΥΤΟ ΕΧΩΡΙΣΘΗ ΠΡΟΣ ΩΡΑΝ ΙΝΑ ΑΙΩΝΙΟΝ ΑΥΤΟΝ ΑΠΕΧΗΙΣ
1,16,ΟΥΚΕΤΙ ΩΣ ΔΟΥΛΟΝ ΑΛΛΑ ΥΠΕΡ ΔΟΥΛΟΝ ΑΔΕΛΦΟΝ ΑΓΑΠΗΤΟΝ ΜΑΛΙΣΤΑ ΕΜΟΙ ΠΟΣΩΙ ΔΕ ΜΑΛΛΟΝ ΣΟΙ ΚΑΙ ΕΝ ΣΑΡΚΙ ΚΑΙ ΕΝ ΚΥΡΙΩΙ
1,17,ΕΙ ΟΥΝ ΜΕ ΕΧΕΙΣ ΚΟΙΝΩΝΟΝ ΠΡΟΣΛΑΒΟΥ ΑΥΤΟΝ ΩΣ ΕΜΕ
1,18,ΕΙ ΔΕ ΤΙ ΗΔΙΚΗΣΕΝ ΣΕ Η ΟΦΕΙΛΕΙ ΤΟΥΤΟ ΕΜΟΙ ΕΛΛΟΓΑ
1,19,ΕΓΩ ΠΑΥΛΟΣ ΕΓΡΑΨΑ ΤΗΙ ΕΜΗΙ ΧΕΙΡΙ ΕΓΩ ΑΠΟΤΙΣΩ ΙΝΑ ΜΗ ΛΕΓΩ ΣΟΙ ΟΤΙ ΚΑΙ ΣΕΑΥΤΟΝ ΜΟΙ ΠΡΟΣΟΦΕΙΛΕΙΣ
1,20,ΝΑΙ ΑΔΕΛΦΕ ΕΓΩ ΣΟΥ ΟΝΑΙΜΗΝ ΕΝ ΚΥΡΙΩΙ ΑΝΑΠΑΥΣΟΝ ΜΟΥ ΤΑ ΣΠΛΑΓΧΝΑ ΕΝ ΧΡΙΣΤΩΙ
