chapter,verse,text
1,1,ΠΟΛΥΜΕΡΩΣ ΚΑΙ ΠΟΛΥΤΡΟΠΩΣ ΠΑΛΑΙ Ο ΘΕΟΣ ΛΑΛΗΣΑΣ ΤΟΙΣ ΠΑΤΡΑΣΙΝ ΕΝ ΤΟΙΣ ΠΡΟΦΗΤΑΙΣ
1,2,ΕΠΙ ΕΣΧΑΤΟΥ ΤΩΝ ΗΜΕΡΩΝ ΤΟΥΤΩΝ ΕΛΑΛΗΣΕΝ ΗΜΙΝ ΕΝ ΥΙΩΙ ΟΝ ΕΘΗΚΕΝ ΚΛΗΡΟΝΟΜΟΝ ΠΑΝΤΩΝ ΔΙΑ ΟΥ ΚΑΙ ΕΠΟΙΗΣΕΝ ΤΟΥΣ ΑΙΩΝΑΣ
1,3,ΟΣ ΩΝ ΑΠΑΥΓΑΣΜΑ ΤΗΣ ΔΟΞΗΣ ΚΑΙ ΧΑΡΑΚΤΗΡ ΤΗΣ ΥΠΟΣΤΑΣΕΩΣ ΑΥΤΟΥ ΦΕΡΩΝ ΤΕ ΤΑ ΠΑΝΤΑ ΤΩΙ ΡΗΜΑΤΙ ΤΗΣ ΔΥΝΑΜΕΩΣ ΑΥΤΟΥ ΚΑΘΑΡΙΣΜΟΝ ΤΩΝ ΑΜΑΡΤΙΩΝ ΠΟΙΗΣΑΜΕΝΟΣ ΕΚΑΘΙΣΕΝ ΕΝ ΔΕΞΙΑΙ ΤΗΣ ΜΕΓΑΛΩΣΥΝΗΣ ΕΝ ΥΨΗΛΟΙΣ
1,4,ΤΟΣΟΥΤΩΙ ΚΡΕΙΤΤΩΝ ΓΕΝΟΜΕΝΟΣ ΤΩΝ ΑΓΓΕΛΩΝ ΟΣΩΙ ΔΙΑΦΟΡΩΤΕΡΟΝ ΠΑΡΑ ΑΥΤΟΥΣ ΚΕΚΛΗΡΟΝΟΜΗΚΕΝ ΟΝΟΜΑ
1,5,ΤΙΝΙ ΓΑΡ ΕΙΠΕΝ ΠΟΤΕ ΤΩΝ ΑΓΓΕΛΩΝ ΥΙΟΣ ΜΟΥ ΕΙ ΣΥ ΕΓΩ ΣΗΜΕΡΟΝ ΓΕΓΕΝΝΗΚΑ ΣΕ ΚΑΙ ΠΑΛΙΝ ΕΓΩ ΕΣΟΜΑΙ ΑΥΤΩΙ ΕΙΣ ΠΑΤΕΡΑ ΚΑΙ ΑΥΤΟΣ ΕΣΤΑΙ ΜΟΙ ΕΙΣ ΥΙΟΝ
1,6,ΟΤΑΝ ΔΕ ΠΑΛΙΝ ΕΙΣΑΓΑΓΗΙ ΤΟΝ ΠΡΩΤΟΤΟΚΟΝ ΕΙΣ ΤΗΝ ΟΙΚΟΥΜΕΝΗΝ ΛΕΓΕΙ ΚΑΙ ΠΡΟΣΚΥΝΗΣΑΤΩΣΑΝ ΑΥΤΩΙ ΠΑΝΤΕΣ ΑΓΓΕΛΟΙ ΘΕΟΥ
1,7,ΚΑΙ ΠΡΟΣ ΜΕΝ ΤΟΥΣ ΑΓΓΕΛΟΥΣ ΛΕΓΕΙ Ο ΠΟΙΩΝ ΤΟΥΣ ΑΓΓΕΛΟΥΣ ΑΥΤΟΥ ΠΝΕΥΜΑΤΑ ΚΑΙ ΤΟΥΣ ΛΕΙΤΟΥΡΓΟΥΣ ΑΥΤΟΥ ΠΥΡΟΣ ΦΛΟΓΑ
1,8,ΠΡΟΣ ΔΕ ΤΟΝ ΥΙΟΝ Ο ΘΡΟΝΟΣ ΣΟΥ Ο ΘΕΟΣ ΕΙΣ ΤΟΝ ΑΙΩΝΑ ΤΟΥ ΑΙΩΝΟΣ ΚΑΙ Η ΡΑΒΔΟΣ ΤΗΣ ΕΥΘΥΤΗΤΟΣ ΡΑΒΔΟΣ ΤΗΣ ΒΑΣΙΛΕΙΑΣ ΑΥΤΟΥ
1,9,ΗΓΑΠΗΣΑΣ ΔΙΚΑΙΟΣΥΝΗΝ ΚΑΙ ΕΜΙΣΗΣΑΣ ΑΝΟΜΙΑΝ ΔΙΑ ΤΟΥΤΟ ΕΧΡΙΣΕΝ ΣΕ Ο ΘΕΟΣ Ο ΘΕΟΣ ΣΟΥ ΕΛΑΙΟΝ ΑΓΑΛΛΙΑΣΕΩΣ ΠΑΡΑ ΤΟΥΣ ΜΕΤΟΧΟΥΣ ΣΟΥ
1,10,ΚΑΙ ΣΥ ΚΑΤΑ ΑΡΧΑΣ ΚΥΡΙΕ ΤΗΝ ΓΗΝ ΕΘΕΜΕΛΙΩΣΑΣ ΚΑΙ ΕΡΓΑ ΤΩΝ ΧΕΙΡΩΝ ΣΟΥ ΕΙΣΙΝ ΟΙ ΟΥΡΑΝΟΙ
1,11,ΑΥΤΟΙ ΑΠΟΛΟΥΝΤΑΙ ΣΥ ΔΕ ΔΙΑΜΕΝΕΙΣ ΚΑΙ ΠΑΝΤΕΣ ΩΣ ΙΜΑΤΙΟΝ ΠΑΛΑΙΩΘΗΣΟΝΤΑΙ
1,12,ΚΑΙ ΩΣΕΙ ΠΕΡΙΒΟΛΑΙΟΝ ΕΛΙΞΕΙΣ ΑΥΤΟΥΣ ΩΣ ΙΜΑΤΙΟΝ ΚΑΙ ΑΛΛΑΓΗΣΟΝΤΑΙ ΣΥ ΔΕ Ο ΑΥΤΟΣ ΕΙ ΚΑΙ ΤΑ ΕΤΗ ΣΟΥ ΟΥΚ ΕΚΛΕΙΨΟΥΣΙΝ
1,13,ΠΡΟΣ ΤΙΝΑ ΔΕ ΤΩΝ ΑΓΓΕΛΩΝ ΕΙΡΗΚΕΝ ΠΟΤΕ ΚΑΘΟΥ ΕΚ ΔΕΞΙΩΝ ΜΟΥ ΕΩΣ ΑΝ ΘΩ ΤΟΥΣ ΕΧΘΡΟΥΣ ΣΟΥ ΥΠΟΠΟΔΙΟΝ ΤΩΝ ΠΟΔΩΝ ΣΟΥ
