chapter,verse,text
1,1,ΙΑΚΩΒΟΣ ΘΕΟΥ ΚΑΙ ΚΥΡΙΟΥ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΔΟΥΛΟΣ ΤΑΙΣ ΔΩΔΕΚΑ ΦΥΛΑΙΣ ΤΑΙΣ ΕΝ ΤΗΙ ΔΙΑΣΠΟΡΑΙ ΧΑΙΡΕΙΝ
1,2,ΠΑΣΑΝ ΧΑΡΑΝ ΗΓΗΣΑΣΘΕ ΑΔΕΛΦΟΙ ΜΟΥ ΟΤΑΝ ΠΕΙΡΑΣΜΟΙΣ ΠΕΡΙΠΕΣΗΤΕ ΠΟΙΚΙΛΟΙΣ
1,3,ΓΙΝΩΣΚΟΝΤΕΣ ΟΤΙ ΤΟ ΔΟΚΙΜΙΟΝ ΥΜΩΝ ΤΗΣ ΠΙΣΤΕΩΣ ΚΑΤΕΡΓΑΖΕΤΑΙ ΥΠΟΜΟΝΗΝ
1,4,Η ΔΕ ΥΠΟΜΟΝΗ ΕΡΓΟΝ ΤΕΛΕΙΟΝ ΕΧΕΤΩ ΙΝΑ ΗΤΕ ΤΕΛΕΙΟΙ ΚΑΙ ΟΛΟΚΛΗΡΟΙ ΕΝ ΜΗΔΕΝΙ ΛΕΙΠΟΜΕΝΟΙ
1,5,ΕΙ ΔΕ ΤΙΣ ΥΜΩΝ ΛΕΙΠΕΤΑΙ ΣΟΦΙΑΣ ΑΙΤΕΙΤΩ ΠΑΡΑ ΤΟΥ ΔΙΔΟΝΤΟΣ ΘΕΟΥ ΠΑΣΙΝ ΑΠΛΩΣ ΚΑΙ ΜΗ ΟΝΕΙΔΙΖΟΝΤΟΣ ΚΑΙ ΔΟΘΗΣΕΤΑΙ ΑΥΤΩΙ
1,6,ΑΙΤΕΙΤΩ ΔΕ ΕΝ ΠΙΣΤΕΙ ΜΗΔΕΝ ΔΙΑΚΡΙΝΟΜΕΝΟΣ Ο ΓΑΡ ΔΙΑΚΡΙΝΟΜΕΝΟΣ ΕΟΙΚΕΝ ΚΛΥΔΩΝΙ ΘΑΛΑΣΣΗΣ ΑΝΕΜΙΖΟΜΕΝΩΙ ΚΑΙ ΡΙΠΙΖΟΜΕΝΩΙ
1,7,ΜΗ ΓΑΡ ΟΙΕΣΘΩ Ο ΑΝΘΡΩΠΟΣ ΕΚΕΙΝΟΣ ΟΤΙ ΛΗΜΨΕΤΑΙ ΤΙ ΠΑΡΑ ΤΟΥ ΚΥΡΙΟΥ
1,8,ΑΝΗΡ ΔΙΨΥΧΟΣ ΑΚΑΤΑΣΤΑΤΟΣ ΕΝ ΠΑΣΑΙΣ ΤΑΙΣ ΟΔΟΙΣ ΑΥΤΟΥ
1,9,ΚΑΥΧΑΣΘΩ ΔΕ Ο ΑΔΕΛΦΟΣ Ο ΤΑΠΕΙΝΟΣ ΕΝ ΤΩΙ ΥΨΕΙ ΑΥΤΟΥ
1,10,Ο ΔΕ ΠΛΟΥΣΙΟΣ ΕΝ ΤΗΙ ΤΑΠΕΙΝΩΣΕΙ ΑΥΤΟΥ ΟΤΙ ΩΣ ΑΝΘΟΣ ΧΟΡΤΟΥ ΠΑΡΕΛΕΥΣΕΤΑΙ
