chapter,verse,text
1,1,ΠΕΤΡΟΣ ΑΠΟΣΤΟΛΟΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΕΚΛΕΚΤΟΙΣ ΠΑΡΕΠΙΔΗΜΟΙΣ ΔΙΑΣΠΟΡΑΣ ΠΟΝΤΟΥ ΓΑΛΑΤΙΑΣ ΚΑΠΠΑΔΟΚΙΑΣ ΑΣΙΑΣ ΚΑΙ ΒΙΘΥΝΙΑΣ
1,2,ΚΑΤΑ ΠΡΟΓΝΩΣΙΝ ΘΕΟΥ ΠΑΤΡΟΣ ΕΝ ΑΓΙΑΣΜΩΙ ΠΝΕΥΜΑΤΟΣ ΕΙΣ ΥΠΑΚΟΗΝ ΚΑΙ ΡΑΝΤΙΣΜΟΝ ΑΙΜΑΤΟΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΠΛΗΘΥΝΘΕΙΗ
1,3,ΕΥΛΟΓΗΤΟΣ Ο ΘΕΟΣ ΚΑΙ ΠΑΤΗΡ ΤΟΥ ΚΥΡΙΟΥ ΗΜΩΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ Ο ΚΑΤΑ ΤΟ ΠΟΛΥ ΑΥΤΟΥ ΕΛΕΟΣ ΑΝΑΓΕΝΝΗΣΑΣ ΗΜΑΣ ΕΙΣ ΕΛΠΙΔΑ ΖΩΣΑΝ ΔΙΑ ΑΝΑΣΤΑΣΕΩΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΕΚ ΝΕΚΡΩΝ
1,4,ΕΙΣ ΚΛΗΡΟΝΟΜΙΑΝ ΑΦΘΑΡΤΟΝ ΚΑΙ ΑΜΙΑΝΤΟΝ ΚΑΙ ΑΜΑΡΑΝΤΟΝ ΤΕΤΗΡΗΜΕΝΗΝ ΕΝ ΟΥΡΑΝΟΙΣ ΕΙΣ ΥΜΑΣ
1,5,ΤΟΥΣ ΕΝ ΔΥΝΑΜΕΙ ΘΕΟΥ ΦΡΟΥΡΟΥΜΕΝΟΥΣ ΔΙΑ ΠΙΣΤΕΩΣ ΕΙΣ ΣΩΤΗΡΙΑΝ ΕΤΟΙΜΗΝ ΑΠΟΚΑΛΥΦΘΗΝΑΙ ΕΝ ΚΑΙΡΩΙ ΕΣΧΑΤΩΙ
1,6,ΕΝ ΩΙ ΑΓΑΛΛΙΑΣΘΕ ΟΛΙΓΟΝ ΑΡΤΙ ΕΙ ΔΕΟΝ ΛΥΠΗΘΕΝΤΕΣ ΕΝ ΠΟΙΚΙΛΟΙΣ ΠΕΙΡΑΣΜΟΙΣ
1,7,ΙΝΑ ΤΟ ΔΟΚΙΜΙΟΝ ΥΜΩΝ ΤΗΣ ΠΙΣΤΕΩΣ ΠΟΛΥΤΙΜΟΤΕΡΟΝ ΧΡΥΣΙΟΥ ΤΟΥ ΑΠΟΛΛΥΜΕΝΟΥ ΔΙΑ ΠΥΡΟΣ ΔΕ ΔΟΚΙΜΑΖΟΜΕΝΟΥ ΕΥΡΕΘΗΙ ΕΙΣ ΕΠΑΙΝΟΝ ΚΑΙ ΔΟΞΑΝ ΚΑΙ ΤΙΜΗΝ ΕΝ ΑΠΟΚΑΛΥΨΕΙ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
1,8,ΟΝ ΟΥΚ ΙΔΟΝΤΕΣ ΑΓΑΠΑΤΕ ΕΙΣ ΟΝ ΑΡΤΙ ΜΗ ΟΡΩΝΤΕΣ ΠΙΣΤΕΥΟΝΤΕΣ ΔΕ ΑΓΑΛΛΙΑΣΘΕ ΧΑΡΑΙ ΑΝΕΚΛΑΛΗΤΩΙ ΚΑΙ ΔΕΔΟΞΑΣΜΕΝΗΙ
1,9,ΚΟΜΙΖΟΜΕΝΟΙ ΤΟ ΤΕΛΟΣ ΤΗΣ ΠΙΣΤΕΩΣ ΥΜΩΝ ΣΩΤΗΡΙΑΝ ΨΥΧΩΝ
1,10,ΠΕΡΙ ΗΣ ΣΩΤΗΡΙΑΣ ΕΞΕΖΗΤΗΣΑΝ ΚΑΙ ΕΞΗΡΑΥΝΗΣΑΝ ΠΡΟΦΗΤΑΙ ΟΙ ΠΕΡΙ ΤΗΣ ΕΙΣ ΥΜΑΣ ΧΑΡΙΤΟΣ ΠΡΟΦΗΤΕΥΣΑΝΤΕΣ
1,11,ΕΡΑΥΝΩΝΤΕΣ ΕΙΣ ΤΙΝΑ Η ΠΟΙΟΝ ΚΑΙΡΟΝ ΕΔΗΛΟΥ ΤΟ ΕΝ ΑΥΤΟΙΣ ΠΝΕΥΜΑ ΧΡΙΣΤΟΥ ΠΡΟΜΑΡΤΥΡΟΜΕΝΟΝ ΤΑ ΕΙΣ ΧΡΙΣΤΟΝ ΠΑΘΗΜΑΤΑ ΚΑΙ ΤΑΣ ΜΕΤΑ ΤΑΥΤΑ ΔΟΞΑΣ
1,12,ΟΙΣ ΑΠΕΚΑΛΥΦΘΗ ΟΤΙ ΟΥΧ ΕΑΥΤΟΙΣ ΥΜΙΝ ΔΕ ΔΙΗΚΟΝΟΥΝ ΑΥΤΑ Α ΝΥΝ ΑΝΗΓΓΕΛΗ ΥΜΙΝ ΔΙΑ ΤΩΝ ΕΥΑΓΓΕΛΙΣΑΜΕΝΩΝ ΥΜΑΣ ΠΝΕΥΜΑΤΙ ΑΓΙΩΙ ΑΠΟΣΤΑΛΕΝΤΙ ΑΠΟ ΟΥΡΑΝΟΥ ΕΙΣ Α ΕΠΙΘΥΜΟΥΣΙΝ ΑΓΓΕΛΟΙ ΠΑΡΑΚΥΨΑΙ
1,13,ΔΙΟ ΑΝΑΖΩΣΑΜΕΝΟΙ ΤΑΣ ΟΣΦΥΑΣ ΤΗΣ ΔΙΑΝΟΙΑΣ ΥΜΩΝ ΝΗΦΟΝΤΕΣ ΤΕΛΕΙΩΣ ΕΛΠΙΣΑΤΕ ΕΠΙ ΤΗΝ ΦΕΡΟΜΕΝΗΝ ΥΜΙΝ ΧΑΡΙΝ ΕΝ ΑΠΟΚΑΛΥΨΕΙ ΙΗΣΟΥ ΧΡΙΣΤΟΥ
