chapter,verse,text
1,1,Ο ΠΡΕΣΒΥΤΕΡΟΣ ΓΑΙΩΙ ΤΩΙ ΑΓΑΠΗΤΩΙ ΟΝ ΕΓΩ ΑΓΑΠΩ ΕΝ ΑΛΗΘΕΙΑΙ
1,2,ΑΓΑΠΗΤΕ ΠΕΡΙ ΠΑΝΤΩΝ ΕΥΧΟΜΑΙ ΣΕ ΕΥΟΔΟΥΣΘΑΙ ΚΑΙ ΥΓΙΑΙΝΕΙΝ ΚΑΘΩΣ ΕΥΟΔΟΥΤΑΙ ΣΟΥ Η ΨΥΧΗ
1,3,ΕΧΑΡΗΝ ΓΑΡ ΛΕΙΑΝ ΕΡΧΟΜΕΝΩΝ ΑΔΕΛΦΩΝ ΚΑΙ ΜΑΡΤΥΡΟΥΝΤΩΝ ΣΟΥ ΤΗΙ ΑΛΗΘΕΙΑΙ ΚΑΘΩΣ ΣΥ ΕΝ ΑΛΗΘΕΙΑΙ ΠΕΡΙΠΑΤΕΙΣ
1,4,ΜΕΙΖΟΤΕΡΑΝ ΤΟΥΤΩΝ ΟΥΚ ΕΧΩ ΧΑΡΑΝ ΙΝΑ ΑΚΟΥΩ ΤΑ ΕΜΑ ΤΕΚΝΑ ΕΝ ΤΗΙ ΑΛΗΘΕΙΑΙ ΠΕΡΙΠΑΤΟΥΝΤΑ
1,5,ΑΓΑΠΗΤΕ ΠΙΣΤΟΝ ΠΟΙΕΙΣ Ο ΕΑΝ ΕΡΓΑΣΗΙ ΕΙΣ ΤΟΥΣ ΑΔΕΛΦΟΥΣ ΚΑΙ ΤΟΥΤΟ ΞΕΝΟΥΣ
1,6,ΟΙ ΕΜΑΡΤΥΡΗΣΑΝ ΣΟΥ ΤΗΙ ΑΓΑΠΗΙ ΕΝΩΠΙΟΝ ΕΚΚΛΗΣΙΑΣ ΟΥΣ ΚΑΛΩΣ ΠΟΙΗΣΕΙΣ ΠΡΟΠΕΜΨΑΣ ΑΞΙΩΣ ΤΟΥ ΘΕΟΥ
1,7,ΥΠΕΡ ΓΑΡ ΤΟΥ ΟΝΟΜΑΤΟΣ ΕΞΗΛΘΟΝ ΜΗΔΕΝ ΛΑΜΒΑΝΟΝΤΕΣ ΑΠΟ ΤΩΝ ΕΘΝΙΚΩΝ
1,8,ΗΜΕΙΣ ΟΥΝ ΟΦΕΙΛΟΜΕΝ ΥΠΟΛΑΜΒΑΝΕΙΝ ΤΟΥΣ ΤΟΙΟΥΤΟΥΣ ΙΝΑ ΣΥΝΕΡΓΟΙ ΓΙΝΩΜΕΘΑ ΤΗΙ ΑΛΗΘΕΙΑΙ
1,9,ΕΓΡΑΨΑ ΤΙ ΤΗΙ ΕΚΚΛΗΣΙΑΙ ΑΛΛΑ Ο ΦΙΛΟΠΡΩΤΕΥΩΝ ΑΥΤΩΝ ΔΙΟΤΡΕΦΗΣ ΟΥΚ ΕΠΙΔΕΧΕΤΑΙ ΗΜΑΣ
1,10,ΔΙΑ ΤΟΥΤΟ ΕΑΝ ΕΛΘΩ ΥΠΟΜΝΗΣΩ ΑΥΤΟΥ ΤΑ ΕΡΓΑ Α ΠΟΙΕΙ ΛΟΓΟΙΣ ΠΟΝΗΡΟΙΣ ΦΛΥΑΡΩΝ ΗΜΑΣ ΚΑΙ ΜΗ ΑΡΚΟΥΜΕΝΟΣ ΕΠΙ ΤΟΥΤΟΙΣ ΟΥΤΕ ΑΥΤΟΣ ΕΠΙΔΕΧΕΤΑΙ ΤΟΥΣ ΑΔΕΛΦΟΥΣ ΚΑΙ ΤΟΥΣ ΒΟΥΛΟΜΕΝΟΥΣ ΚΩΛΥΕΙ ΚΑΙ ΕΚ ΤΗΣ ΕΚΚΛΗΣΙΑΣ ΕΚΒΑΛΛΕΙ
1,11,ΑΓΑΠΗΤΕ ΜΗ ΜΙΜΟΥ ΤΟ ΚΑΚΟΝ ΑΛΛΑ ΤΟ ΑΓΑΘΟΝ Ο ΑΓΑΘΟΠΟΙΩΝ ΕΚ ΤΟΥ ΘΕΟΥ ΕΣΤΙΝ Ο ΚΑΚΟΠΟΙΩΝ ΟΥΧ ΕΩΡΑΚΕΝ ΤΟΝ ΘΕΟΝ
1,12,ΔΗΜΗΤΡΙΩΙ ΜΕΜΑΡΤΥΡΗΤΑΙ ΥΠΟ ΠΑΝΤΩΝ ΚΑΙ ΥΠΟ ΑΥΤΗΣ ΤΗΣ ΑΛΗΘΕΙΑΣ ΚΑΙ ΗΜΕΙΣ ΔΕ ΜΑΡΤΥΡΟΥΜΕΝ ΚΑΙ ΟΙΔΑΣ ΟΤΙ Η ΜΑΡΤΥΡΙΑ ΗΜΩΝ ΑΛΗΘΗΣ ΕΣΤΙΝ
1,13,ΠΟΛΛΑ ΕΙΧΟΝ ΓΡΑΨΑΙ ΣΟΙ ΑΛΛΑ ΟΥ ΘΕΛΩ ΔΙΑ ΜΕΛΑΝΟΣ ΚΑΙ ΚΑΛΑΜΟΥ ΣΟΙ ΓΡΑΦΕΙΝ
1,14,ΕΛΠΙΖΩ ΔΕ ΕΥΘΕΩΣ ΣΕ ΙΔΕΙΝ ΚΑΙ ΣΤΟΜΑ ΠΡΟΣ ΣΤΟΜΑ ΛΑΛΗΣΟΜΕΝ
1,15,ΕΙΡΗΝΗ ΣΟΙ ΑΣΠΑΖΟΝΤΑΙ ΣΕ ΟΙ ΦΙΛΟΙ ΑΣΠΑΖΟΥ ΤΟΥΣ ΦΙΛΟΥΣ ΚΑΤΑ ΟΝΟΜΑ
