chapter,verse,text
1,1,ΙΟΥΔΑΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΔΟΥΛΟΣ ΑΔΕΛΦΟΣ ΔΕ ΙΑΚΩΒΟΥ ΤΟΙΣ ΕΝ ΘΕΩΙ ΠΑΤΡΙ ΗΓΑΠΗΜΕΝΟΙΣ ΚΑΙ ΙΗΣΟΥ ΧΡΙΣΤΩΙ ΤΕΤΗΡΗΜΕΝΟΙΣ ΚΛΗΤΟΙΣ
1,2,ΕΛΕΟΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΚΑΙ ΑΓΑΠΗ ΠΛΗΘΥΝΘΕΙΗ
1,3,ΑΓΑΠΗΤΟΙ ΠΑΣΑΝ ΣΠΟΥΔΗΝ ΠΟΙΟΥΜΕΝΟΣ ΓΡΑΦΕΙΝ ΥΜΙΝ ΠΕΡΙ ΤΗΣ ΚΟΙΝΗΣ ΗΜΩΝ ΣΩΤΗΡΙΑΣ ΑΝΑΓΚΗΝ ΕΣΧΟΝ ΓΡΑΨΑΙ ΥΜΙΝ ΠΑΡΑΚΑΛΩΝ ΕΠΑΓΩΝΙΖΕΣΘΑΙ ΤΗΙ ΑΠΑΞ ΠΑΡΑΔΟΘΕΙΣΗΙ ΤΟΙΣ ΑΓΙΟΙΣ ΠΙΣΤΕΙ
1,4,ΠΑΡΕΙΣΕΔΥΣΑΝ ΓΑΡ ΤΙΝΕΣ ΑΝΘΡΩΠΟΙ ΟΙ ΠΑΛΑΙ ΠΡΟΓΕΓΡΑΜΜΕΝΟΙ ΕΙΣ ΤΟΥΤΟ ΤΟ ΚΡΙΜΑ ΑΣΕΒΕΙΣ ΤΗΝ ΤΟΥ ΘΕΟΥ ΗΜΩΝ ΧΑΡΙΤΑ ΜΕΤΑΤΙΘΕΝΤΕΣ ΕΙΣ ΑΣΕΛΓΕΙΑΝ ΚΑΙ ΤΟΝ ΜΟΝΟΝ ΔΕΣΠΟΤΗΝ ΚΑΙ ΚΥΡΙΟΝ ΗΜΩΝ ΙΗΣΟΥΝ ΧΡΙΣΤΟΝ ΑΡΝΟΥΜΕΝΟΙ
1,5,ΥΠΟΜΝΗΣΑΙ ΔΕ ΥΜΑΣ ΒΟΥΛΟΜΑΙ ΕΙΔΟΤΑΣ ΥΜΑΣ ΑΠΑΞ ΠΑΝΤΑ ΟΤΙ ΙΗΣΟΥΣ ΛΑΟΝ ΕΚ ΓΗΣ ΑΙΓΥΠΤΟΥ ΣΩΣΑΣ ΤΟ ΔΕΥΤΕΡΟΝ ΤΟΥΣ ΜΗ ΠΙΣΤΕΥΣΑΝΤΑΣ ΑΠΩΛΕΣΕΝ
1,6,ΑΓΓΕΛΟΥΣ ΤΕ ΤΟΥΣ ΜΗ ΤΗΡΗΣΑΝΤΑΣ ΤΗΝ ΕΑΥΤΩΝ ΑΡΧΗΝ ΑΛΛΑ ΑΠΟΛΙΠΟΝΤΑΣ ΤΟ ΙΔΙΟΝ ΟΙΚΗΤΗΡΙΟΝ ΕΙΣ ΚΡΙΣΙΝ ΜΕΓΑΛΗΣ ΗΜΕΡΑΣ ΔΕΣΜΟΙΣ ΑΙΔΙΟΙΣ ΥΠΟ ΖΟΦΟΝ ΤΕΤΗΡΗΚΕΝ
1,7,ΩΣ ΣΟΔΟΜΑ ΚΑΙ ΓΟΜΟΡΡΑ ΚΑΙ ΑΙ ΠΕΡΙ ΑΥΤΑΣ ΠΟΛΕΙΣ ΤΟΝ ΟΜΟΙΟΝ ΤΡΟΠΟΝ ΤΟΥΤΟΙΣ ΕΚΠΟΡΝΕΥΣΑΣΑΙ ΚΑΙ ΑΠΕΛΘΟΥΣΑΙ ΟΠΙΣΩ ΣΑΡΚΟΣ ΕΤΕΡΑΣ ΠΡΟΚΕΙΝΤΑΙ ΔΕΙΓΜΑ ΠΥΡΟΣ ΑΙΩΝΙΟΥ ΔΙΚΗΝ ΥΠΕΧΟΥΣΑΙ
1,8,ΟΜΟΙΩΣ ΜΕΝΤΟΙ ΚΑΙ ΟΥΤΟΙ ΕΝΥΠΝΙΑΖΟΜΕΝΟΙ ΣΑΡΚΑ ΜΕΝ ΜΙΑΙΝΟΥΣΙΝ ΚΥΡΙΟΤΗΤΑ ΔΕ ΑΘΕΤΟΥΣΙΝ ΔΟΞΑΣ ΔΕ ΒΛΑΣΦΗΜΟΥΣΙΝ
1,9,Ο ΔΕ ΜΙΧΑΗΛ Ο ΑΡΧΑΓΓΕΛΟΣ ΟΤΕ ΤΩΙ ΔΙΑΒΟΛΩΙ ΔΙΑΚΡΙΝΟΜΕΝΟΣ ΔΙΕΛΕΓΕΤΟ ΠΕΡΙ ΤΟΥ ΜΩΥΣΕΩΣ ΣΩΜΑΤΟΣ ΟΥΚ ΕΤΟΛΜΗΣΕΝ ΚΡΙΣΙΝ ΕΠΕΝΕΓΚΕΙΝ ΒΛΑΣΦΗΜΙΑΣ ΑΛΛΑ ΕΙΠΕΝ ΕΠΙΤΙΜΗΣΑΙ ΣΟΙ ΚΥΡΙΟΣ
1,10,ΟΥΤΟΙ ΔΕ ΟΣΑ ΜΕΝ ΟΥΚ ΟΙΔΑΣΙΝ ΒΛΑΣΦΗΜΟΥΣΙΝ ΟΣΑ ΔΕ ΦΥΣΙΚΩΣ ΩΣ ΤΑ ΑΛΟΓΑ ΖΩΙΑ ΕΠΙΣΤΑΝΤΑΙ ΕΝ ΤΟΥΤΟΙΣ ΦΘΕΙΡΟΝΤΑΙ
1,11,ΟΥΑΙ ΑΥΤΟΙΣ ΟΤΙ ΤΗΙ ΟΔΩΙ ΤΟΥ ΚΑΙΝ ΕΠΟΡΕΥΘΗΣΑΝ ΚΑΙ ΤΗΙ ΠΛΑΝΗΙ ΤΟΥ ΒΑΛΑΑΜ ΜΙΣΘΟΥ ΕΞΕΧΥΘΗΣΑΝ ΚΑΙ ΤΗΙ ΑΝΤΙΛΟΓΙΑΙ ΤΟΥ ΚΟΡΕ ΑΠΩΛΟΝΤΟ
