chapter,verse,text
1,1,ΑΠΟΚΑΛΥΨΙΣ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΗΝ ΕΔΩΚΕΝ ΑΥΤΩΙ Ο ΘΕΟΣ ΔΕΙΞΑΙ ΤΟΙΣ ΔΟΥΛΟΙΣ ΑΥΤΟΥ Α ΔΕΙ ΓΕΝΕΣΘΑΙ ΕΝ ΤΑΧΕΙ ΚΑΙ ΕΣΗΜΑΝΕΝ ΑΠΟΣΤΕΙΛΑΣ ΔΙΑ ΤΟΥ ΑΓΓΕΛΟΥ ΑΥΤΟΥ ΤΩΙ ΔΟΥΛΩΙ ΑΥΤΟΥ ΙΩΑΝΝΗΙ
1,2,ΟΣ ΕΜΑΡΤΥΡΗΣΕΝ ΤΟΝ ΛΟΓΟΝ ΤΟΥ ΘΕΟΥ ΚΑΙ ΤΗΝ ΜΑΡΤΥΡΙΑΝ ΙΗΣΟΥ ΧΡΙΣΤΟΥ ΟΣΑ ΕΙΔΕΝ
1,3,ΜΑΚΑΡΙΟΣ Ο ΑΝΑΓΙΝΩΣΚΩΝ ΚΑΙ ΟΙ ΑΚΟΥΟΝΤΕΣ ΤΟΥΣ ΛΟΓΟΥΣ ΤΗΣ ΠΡΟΦΗΤΕΙΑΣ ΚΑΙ ΤΗΡΟΥΝΤΕΣ ΤΑ ΕΝ ΑΥΤΗΙ ΓΕΓΡΑΜΜΕΝΑ Ο ΓΑΡ ΚΑΙΡΟΣ ΕΓΓΥΣ
1,4,ΙΩΑΝΝΗΣ ΤΑΙΣ ΕΠΤΑ ΕΚΚΛΗΣΙΑΙΣ ΤΑΙΣ ΕΝ ΤΗΙ ΑΣΙΑΙ ΧΑΡΙΣ ΥΜΙΝ ΚΑΙ ΕΙΡΗΝΗ ΑΠΟ Ο ΩΝ ΚΑΙ Ο ΗΝ ΚΑΙ Ο ΕΡΧΟΜΕΝΟΣ ΚΑΙ ΑΠΟ ΤΩΝ ΕΠΤΑ ΠΝΕΥΜΑΤΩΝ Α ΕΝΩΠΙΟΝ ΤΟΥ ΘΡΟΝΟΥ ΑΥΤΟΥ
1,5,ΚΑΙ ΑΠΟ ΙΗΣΟΥ ΧΡΙΣΤΟΥ Ο ΜΑΡΤΥΣ Ο ΠΙΣΤΟΣ Ο ΠΡΩΤΟΤΟΚΟΣ ΤΩΝ ΝΕΚΡΩΝ ΚΑΙ Ο ΑΡΧΩΝ ΤΩΝ ΒΑΣΙΛΕΩΝ ΤΗΣ ΓΗΣ ΤΩΙ ΑΓΑΠΩΝΤΙ ΗΜΑΣ ΚΑΙ ΛΥΣΑΝΤΙ ΗΜΑΣ ΕΚ ΤΩΝ ΑΜΑΡΤΙΩΝ ΗΜΩΝ ΕΝ ΤΩΙ ΑΙΜΑΤΙ ΑΥΤΟΥ
1,6,ΚΑΙ ΕΠΟΙΗΣΕΝ ΗΜΑΣ ΒΑΣΙΛΕΙΑΝ ΙΕΡΕΙΣ ΤΩΙ ΘΕΩΙ ΚΑΙ ΠΑΤΡΙ ΑΥΤΟΥ ΑΥΤΩΙ Η ΔΟΞΑ ΚΑΙ ΤΟ ΚΡΑΤΟΣ ΕΙΣ ΤΟΥΣ ΑΙΩΝΑΣ ΑΜΗΝ
1,7,ΙΔΟΥ ΕΡΧΕΤΑΙ ΜΕΤΑ ΤΩΝ ΝΕΦΕΛΩΝ ΚΑΙ ΟΨΕΤΑΙ ΑΥΤΟΝ ΠΑΣ ΟΦΘΑΛΜΟΣ ΚΑΙ ΟΙΤΙΝΕΣ ΑΥΤΟΝ ΕΞΕΚΕΝΤΗΣΑΝ ΚΑΙ ΚΟΨΟΝΤΑΙ ΕΠΙ ΑΥΤΟΝ ΠΑΣΑΙ ΑΙ ΦΥΛΑΙ ΤΗΣ ΓΗΣ ΝΑΙ ΑΜΗΝ
1,8,ΕΓΩ ΕΙΜΙ ΤΟ ΑΛΦΑ ΚΑΙ ΤΟ Ω ΛΕΓΕΙ ΚΥΡΙΟΣ Ο ΘΕΟΣ Ο ΩΝ ΚΑΙ Ο ΗΝ ΚΑΙ Ο ΕΡΧΟΜΕΝΟΣ Ο ΠΑΝΤΟΚΡΑΤΩΡ
1,9,ΕΓΩ ΙΩΑΝΝΗΣ Ο ΑΔΕΛΦΟΣ ΥΜΩΝ ΚΑΙ ΣΥΝΚΟΙΝΩΝΟΣ ΕΝ ΤΗΙ ΘΛΙΨΕΙ ΚΑΙ ΒΑΣΙΛΕΙΑΙ ΚΑΙ ΥΠΟΜΟΝΗΙ ΕΝ ΙΗΣΟΥ ΕΓΕΝΟΜΗΝ ΕΝ ΤΗΙ ΝΗΣΩΙ ΤΗΙ ΚΑΛΟΥΜΕΝΗΙ ΠΑΤΜΩΙ ΔΙΑ ΤΟΝ ΛΟΓΟΝ ΤΟΥ ΘΕΟΥ ΚΑΙ ΤΗΝ ΜΑΡΤΥΡΙΑΝ ΙΗΣΟΥ
1,10,ΕΓΕΝΟΜΗΝ ΕΝ ΠΝΕΥΜΑΤΙ ΕΝ ΤΗΙ ΚΥΡΙΑΚΗΙ ΗΜΕΡΑΙ ΚΑΙ ΗΚΟΥΣΑ ΟΠΙΣΩ ΜΟΥ ΦΩΝΗΝ ΜΕΓΑΛΗΝ ΩΣ ΣΑΛΠΙΓΓΟΣ
1,11,ΛΕΓΟΥΣΗΣ Ο ΒΛΕΠΕΙΣ ΓΡΑΨΟΝ ΕΙΣ ΒΙΒΛΙΟΝ ΚΑΙ ΠΕΜΨΟΝ ΤΑΙΣ ΕΠΤΑ ΕΚΚΛΗΣΙΑΙΣ ΕΙΣ ΕΦΕΣΟΝ ΚΑΙ ΕΙΣ ΣΜΥΡΝΑΝ ΚΑΙ ΕΙΣ ΠΕΡΓΑΜΟΝ ΚΑΙ ΕΙΣ ΘΥΑΤΕΙΡΑ ΚΑΙ ΕΙΣ ΣΑΡΔΕΙΣ ΚΑΙ ΕΙΣ ΦΙΛΑΔΕΛΦΙΑΝ ΚΑΙ ΕΙΣ ΛΑΟΔΙΚΙΑΝ
